word,trans,example
process,"v.处理；加工
n.过程，进行；方法，步骤；作用；程序；推移
adj.经过特殊加工（或处理）的
","1. Goats’ cheese may be processed in many ways.
山羊奶干酪可以有多种加工方法。
2. Two million workers are employed processing goods for electronic firms.
200 万名工人受雇为电子公司加工产品。
"
create,"v.创造，创作；造成
","1. Some people believe the universe was created by a big explosion.
有些人认为宇宙是通过一次大爆炸创造出来的。
2. Her behaviour is creating a lot of problems.
她的行为引起了很多问题。
3. The new factory is expected to create more than 400 new jobs.
这家新工厂预计能创造400多个新的就业机会。
"
drug,"n.药；毒品；麻醉药；滞销货
v.使服麻醉药；使服毒品；掺麻醉药于
","1. A lot of young people start taking drugs at school.
许多年轻人上学时开始吸毒。
2. She always looks as though she’s on drugs (= taking drugs ) .
她总是看上去一副吸过毒的样子。
3. Jimi Hendrix died of a drug overdose.
吉米·亨德里克斯死于吸毒过量。
"
care,"n.关怀；照料；谨慎；忧虑
v.照顾；关心；喜爱；顾虑
","1. high standards of medical care
高水平的医疗护理
2. They shared the care of the children.
他们共同照顾孩子。
3. Care facilities for the elderly are inadequate.
老年人的护理设施很缺乏。
"
group,"n.组；团体
adj.群的；团体的
v.聚合
","1. A group of us are going to London.
我们有一群人要去伦敦。
"
discovery,"n.发现，发觉；被发现的事物
","1. I felt I'd made an incredible discovery.
我感到自己有了一个惊人的发现。
"
include,"v.包含，包括
","1. Does the price include postage?
这个价格包含邮费吗？
2. His job includes looking after under-21 teams.
他的职责包括照管21岁以下球队。
3. The curriculum includes courses in computing.
课程内容包括计算机技术。
"
price,"n.价格；价值；代价
v.给……定价；问……的价格
","1. They may pay a high price for their few years of glory.
为了短短几年的辉煌，他们也许要付出高昂的代价。
"
sector,"n.部门；扇形，扇区；象限仪；函数尺
vt.把…分成扇形
","1. ...the nation's manufacturing sector.
…该国的制造部门。
"
service,"n.服务，服侍；服役；仪式
adj.服务性的；耐用的；服现役的
v.维修，检修；保养
","1. the health service
医疗保健服务
2. the postal service
邮政服务
3. the police service
警察部门
4. the prison service
监狱系统
5. Workers in the emergency services (= the police, hospital, and the fire service ) are forbidden from striking.
紧急服务机构的工作人员是禁止罢工的。
6. There has been a decline in public services in recent years.
近年来公共服务减少了。
7. {""GLOSS"":[""the police, hospitals, fire service, and organizations that provide basic things such as water, gas, or electricity""],""COLLOINEXA"":[""the essential services""]}
基础服务部门
"
search,"v.搜寻；调查；探求
n.搜寻；探究，查究
","1. It was too dark to search further.
天太暗，无法继续寻找。
2. The area was thoroughly searched .
这一地区已被彻底搜查过。
3. I’ve searched high and low (= everywhere ) for my glasses.
我到处找我的眼镜。
"
experience,"n.经验；经历；体验
v.经验；经历；体验
","1. The advice in the booklet reflects the practical experience we have gained (= experience gained by actually doing something, rather than knowledge from books etc ).
小册子中的建议反映了我们所获得的实践经验。
2. I had some experience in fashion design.
我有一些时装设计方面的经验。
3. She was turned down on the grounds of lack of experience.
她因缺乏经验而被拒绝。
4. I have first-hand experience (= experience gained by doing something myself ) of running a school.
我有办学的亲身经验。
"
require,"v.需要；要求；命令
","1. Campbell’s broken leg will probably require surgery.
坎贝尔的一条腿骨折，可能需要手术。
2. What’s required is a complete reorganization of the system.
需要做的是彻底整顿整个系统。
3. Most house plants require regular watering.
大多数室内盆栽植物需要定期浇水。
"
individual,"adj.个人的；个别的；独特的
n.个人，个体
","1. Each individual leaf on the tree is different.
树上每片叶子都不相同。
2. the needs of the individual customer
每位顾客的需求
"
scientific,"adj.科学的，系统的
","1. We believe in investing in scientific research.
我们相信科学研究的投资价值。
2. the limits of scientific knowledge
科学知识的极限
3. decisions based on scientific evidence
根据科学证据作出的决定
4. the international scientific community (= scientists )
国际科学界
"
attention,"n.注意力；关心；立正！（口令）
","1. My attention wasn’t really on the game.
我的注意力其实不在比赛上。
2. She tried to pay attention to what he was saying.
她尽量注意听他说话。
3. If you paid more attention in class, you might actually learn something!
要是你上课更认真些，也许能实实在在地学到些东西！
4. Scott sat down at his desk and turned his attention to the file he had in front of him.
斯科特在自己的办公桌前坐下，将注意力转向面前的文件。
5. As a society we need to give more attention to the needs of older people.
生活在同一社会里，我们得更加关注长者的需求。
6. Now he’s gone, I can give you my undivided attention .
现在他已经走了，我可以把全部注意力都放在你身上。
7. This game is fun and is sure to keep the attention of any young student.
这个游戏很有趣，一定能使年幼学生保持注意力。
8. They listened to the speech with close attention .
他们很认真地听演讲。
9. Attention to detail is essential in this job.
关注细节是这份工作所必需的。
10. During the lecture Sarah’s attention began to wander .
上课时，萨拉开始走神了。
"
influential,"adj.有影响的；有势力的
n.有影响力的人物
","1. He had influential friends.
他有一些有影响力的朋友。
2. a highly influential art magazine
一本极有影响力的艺术杂志
"
court,"n.法院；球场；朝廷；奉承
v.招致（失败、危险等）；向…献殷勤；设法获得
","1. It could not be proved in a court of law.
这无法在法庭上证实。
2. The court case lasted six weeks.
这场诉讼持续了六个星期。
3. Four people will appear in court today, charged with fraud.
今天将有四个人因被指控犯有欺诈罪出庭受审。
4. The court ruled that no compensation was due.
法庭判决不予赔偿。
5. She threatened to take the magazine to court (= take legal action against them ) if they didn’t publish an immediate apology.
她威胁说如果这家杂志不立刻刊登道歉声明，她就要把他们告上法庭。
"
law,"n.法律；规律；法治；法学；诉讼；司法界
vi.起诉；控告
vt.控告；对…起诉
","1. Elected officials ought to obey the law.
民选官员理应遵守法律。
"
federal,"adj.联邦的；同盟的；联邦政府的； 联邦制的
adv.联邦政府地
n.(Federal)人名；(英)费德勒尔
","1. Switzerland is a federal republic.
瑞士是一个联邦共和国。
"
past,"n.过去；往事
adj.过去的；结束的
prep.越过；晚于
adv.过；经过
","1. You mustn’t think about it. It’s all in the past now.
你千万不要再想那件事，现在一切都过去了。
"
deal,"v.处理；给予；分配；发牌
n.交易；（美）政策；待遇；份量
","1. Whose turn is it to deal?
轮到谁发牌了？
"
rise,"v.上升；增强；起立；高耸
n.上升；高地；增加；出现
","1. The police seem unable to cope with the rising tide of (= large increase in ) car crime.
面对日益增多的汽车罪案，警方似乎无能为力。
"
limit,"n.限制；限度；界线
v.限制；限定
","1. a 55 mph speed limit
55英里的时速限制
"
peer,"n.贵族；同等的人；同龄人
v.凝视，盯着看；窥视
","1. American children did less well in math than their peers in Japan.
美国儿童的数学成绩不如日本的同龄儿童。
2. Staff members are trained by their peers.
员工由同事培训。
"
scientist,"n.科学家
","1. Scientists say they've already collected more data than had been expected.
科学家们说他们已经搜集到比预期更多的数据。
"
financial,"adj.金融的；财政的，财务的
","1. financial transactions
财务往来
2. financial assistance
财务援助
3. a financial advisor
财务顾问
4. Organic farmers should be encouraged with financial incentives.
应对实行有机栽培的农民给予经济上的鼓励。
5. It was a wonderful film, but not exactly a financial success (= something that makes a profit ) .
这是一部出色的影片，但在票房上不是很成功。
"
report,"n.报告；报道；成绩单
v.报告；报导；使报到
","1. According to recent news reports , two of the victims are Americans.
根据近期的新闻报道，受害者中有两名是美国人。
"
issue,"n.问题；流出；期号；发行物
v.发行，发布；发给；放出，排出
","1. Abortion is a highly controversial issue.
堕胎是个很有争议的话题。
2. We should raise the issue of discrimination with the council.
我们应提请市政会讨论歧视的问题。
3. The key issue is whether workers should be classified as ‘employees’.
关键问题是工人是否应该界定为“雇员”。
"
risk,"n.风险；危险；冒险
v.冒…的危险
","1. It was a risk, sending a letter to my house.
将信寄到我家是冒险。
"
method,"n.方法；条理；类函数
adj.使用体验派表演方法的
","1. traditional teaching methods
传统的教学法
2. I think we should try again using a different method.
我想我们应该用不同的方法再试一次。
3. effective methods for the storage and retrieval of information
信息存储和检索的有效方法
"
publish,"v.出版；发表；公布
","1. The first edition was published in 1765.
第一版于1765年出版。
2. They are publishing the dictionary on CD-ROM.
那部词典他们将以光盘版的形式推出。
"
practice,"n.实践；练习；惯例
v.练习；实习；实行
","1. It takes hours of practice to learn to play the guitar.
学习弹吉他需要长时间的练习。
2. With a little more practice you should be able to pass your test.
稍微再练一练，你应该能通过考试了。
3. We have choir practice on Tuesday evening.
星期二晚上我们要练习合唱。
"
future,"n.未来；前途；期货；将来时
adj.将来的，未来的
","1. The islands should have the right to decide their own future.
这些岛屿应当有权决定自己的未来。
2. a leader who will shape the organization’s future
将决定该组织未来的一位领导者
"
function,"n.功能；[数] 函数；职责；盛大的集会
v.运行；活动；行使职责
","1. The nervous system regulates our bodily functions (= eating, breathing, going to the toilet etc ) .
神经系统控制着我们身体的功能。
2. Bauhaus architects thought that function was more important than form.
包豪斯学派的建筑师认为功能重于形式。
3. The authorities say the prison is now functioning normally.
当局称该监狱现在在正常运转。
"
evidence,"n.证据，证明；迹象；明显
v.证明
","1. Murrow’s evidence was enough to convict Hayes of murder.
默罗的证词足以证明海斯犯了谋杀罪。
"
pressure,"n.压力；压迫，[物] 压强
v.迫使；密封；使……增压
","1. They are putting pressure on people to vote yes.
他们正在向民众施加压力，要求他们投赞成票。
2. You must never give in to pressure .
你绝不能屈从压力。
"
turn,"v.转动，使旋转；转弯；翻过来；兑换
n.转弯；变化；(损害或有益于别人的)行为，举动，举止
","1. Ricky turned and walked away.
里基转身走了。
2. She turned her head in surprise.
她惊讶地转过头来。
3. Brigitte glared at him, turned on her heel (= turned away suddenly because of anger ) , and stomped out of the room.
布丽吉特瞪了他一眼，猛地一转身，噔噔噔地走出了房间。
"
argue,"v.争论，辩论；提出理由
n.(Argue)人名；(英、法)阿格
","1. We could hear the neighbours arguing.
我们听到邻居在争吵。
"
support,"v.支持，支撑，支援；扶持，帮助；赡养，供养
n.支持，维持；支援，供养；支持者，支撑物
","1. The bill was supported by a large majority in the Senate.
这项法案得到参议院绝大多数人的支持。
2. We strongly support the peace process.
我们大力拥护和平进程。
"
offer,"v.提供；出价；试图
n.提议；出价；意图；录取通知书
","1. A number of groups offer their services free of charge.
一些团体免费提供服务。
"
understand,"v.理解；懂；获悉；推断；省略
","1. She doesn’t understand English.
她不懂英语。
2. I’m sorry, I don’t understand. Can yon explain that again?
对不起，我不明白。你能再解释一遍吗？
3. The woman had a strong accent, and I couldn’t understand what she was saying.
那女人口音很重，我听不懂她在说些什么。
"
history,"n.历史，历史学；历史记录；来历
","1. Throughout history the achievements of women have been largely ignored.
从古至今，妇女的成就都被大大地忽视了。
2. No man in recent history has done more to rebuild the Democratic Party.
他对重建民主党的贡献在近代史上无人能及。
3. the early history of Scotland
苏格兰的早期历史
4. Other meteor storms have occurred in recorded history .
在有记载的历史上发生过其他的流星暴。
5. a museum devoted to local history
专门介绍当地历史的博物馆
6. one of the darkest episodes in American history
美国历史上最黑暗的事件之一
7. an interesting period in Egyptian history
埃及历史上一段有趣的时期
8. a decision that changed the course of history
改变历史进程的决定
9. a college steeped in history
一所历史悠久的学院
10. History shows that the usual response to violent protest is repression.
历史表明，一般对待暴力抗议的回应就是镇压。
"
bring,"v.带来；促使；引起；使某人处于某种情况或境地
n.(Bring)人名；(英、瑞典)布林
","1. The discovery of gold brought thousands of people to the Transvaal.
黄金的发现把成千上万的人引到了德兰士瓦。
"
knowledge,"n.知识，学问；知道，认识；学科
","1. He did not have much knowledge of American history.
他对美国历史所知不多。
"
medical,"adj.医学的；药的；内科的
n.医生；体格检查
","1. medical research
医学研究
2. medical staff
医务人员
3. a medical student
医科学生
4. a patient’s medical history
患者的病史
"
rate,"n.比率，率；速度；价格；等级
v.认为；估价；责骂
","1. Immediately his heart rate (= the number of beats per minute ) increased.
他的心率立即加快了。
"
continue,"v.继续，延续；仍旧，连续
","1. He will be continuing his education in the US.
他将在美国继续求学。
2. I felt too sick to continue.
我感觉很难受，无法继续下去了。
"
monkey,"n.猴子；顽童
v.胡闹；捣蛋
","1. Stop that, you little monkey!
别这样，你这个小淘气鬼！
"
student,"n.学生；学者
","1. Warren's eldest son is an art student.
沃伦的长子是一名学艺术的学生。
"
smell,"v.嗅，闻；有…气味
n.气味，嗅觉；臭味
","1. I can smell burning.
我闻到烧焦的气味。
2. Can you smell something?
你闻到什么气味了吗？
"
single,"adj.单一的；单身的；单程的
n.一个；单打；单程票
v.选出
","1. A single tree gave shade from the sun.
唯有一棵树遮阴。
2. They won the game by a single point.
他们仅以一分的优势赢得比赛。
3. the highest price ever paid for a single work of art
为单件艺术品所支付的最高价格
4. a single-sex school
单一性别的学校
"
average,"n.平均；平均数；海损
adj.平均的；普通的；通常的
v.算出…的平均数；将…平均分配；使…平衡
","1. The December figures brought the annual average for 2001 up to 10.6 per cent.
12月的数据将2001年的年平均水平提升到10.6%。
"
loss,"n.减少；亏损；失败；遗失
","1. The company is closing down two of its factories, leading to 430 job losses .
公司要关闭其中的两家工厂，这将造成430人失业。
2. Weight loss should be gradual.
减肥应该循序渐进。
3. a type of hearing loss that affects language development
一种会影响语言能力发展的听力丧失
"
legal,"adj.法律的；合法的；法定的；依照法律的
n.(Legal)人名；(法)勒加尔
","1. What the company has done is perfectly legal.
公司所做的这一切完全合法。
2. plans to make the carrying of identity cards a legal requirement
使携带身份证成为法定要求的计划
3. He had twice the legal limit of alcohol in his bloodstream.
他血液中的酒精含量是法定限度的两倍。
4. a pressure group that is campaigning to make cannabis legal
争取大麻合法化的压力团体
"
effect,"n.影响；效果；作用
v.产生；达到目的
","1. the long-term effects of the drug
这种毒品的长期影响
2. I could feel the effects of the thin mountain air.
我能感觉到山上稀薄空气产生的影响。
3. This ingredient also has the effect of making your skin look younger.
这种成分还有使皮肤看上去更年轻的效果。
4. A system failure has a knock-on effect throughout the whole hotel.
系统故障会给整个酒店带来连锁反应。
5. the cumulative effect of human activities on the global environment
人类活动对全球环境日积月累的影响
6. A much lower dose of the painkiller can still produce the desired effect.
大量减少该止痛药的服用剂量依然能产生预期的效果。
7. In mental illness, there is a complex relationship between cause and effect.
精神疾病有复杂的因果关系。
"
feeling,"n.感觉，触觉；感情，情绪；同情
adj.有感觉的；有同情心的；富于感情的
v.感觉；认为（feel的现在分词）；触摸
","1. Knowing we’d won was a wonderful feeling.
得知我们赢了，感觉真好。
"
gamble,"v.赌博；孤注一掷；投机；打赌
n.赌博；冒险；打赌
","1. Their religion forbids them to drink or gamble.
他们的宗教禁止饮酒和赌博。
"
writing,"n.书写；作品；著作；[法] 笔迹
v.书写（write的ing形式）
","1. What does the writing on the back say?
背面的文字说什么？
2. a T-shirt with Japanese writing on it
一件印有日语的T恤衫
"
share,"v.分享，分担；分配
n.份额；股份
","1. As a kid he’d never share his toys.
他小时候从不肯与人分享他的玩具。
"
earn,"v.赚，赚得；获得，挣得；使得到；博得
n.(Earn)人名；(泰)炎
","1. He earns nearly £20,000 a year.
他每年挣近20,000英镑。
2. You don’t earn much money being a nurse.
当护士挣钱并不多。
3. He did all sorts of jobs to earn a living.
他为谋生什么活都干。
4. I was the only person in the house who was earning.
我是家里唯一上班挣钱的人。
5. She was earning good money at the bank.
她在银行工作，收入不错。
6. Chris will pay – he’s earning a fortune.
克里斯会付款的，他在挣大钱。
"
message,"n.消息；差使；启示；预言；广告词
v.报信，报告；[通信] 报文
","1. He left a message saying he would probably be a little late.
他留言说可能会晚一点来。
"
standard,"n.标准；水准；旗；度量衡标准
adj.标准的；合规格的；公认为优秀的
","1. Students have to reach a certain standard or they won’t pass.
学生必须达到某一标准，否则无法通过。
2. The airline has rigorous safety standards.
这家航空公司有严格的安全标准。
"
quit,"v.离开；放弃；停止；使…解除
n.离开；[计] 退出
adj.摆脱了…的；已经了结的
","1. He quit his job after an argument with a colleague.
他和一个同事争吵后就辞职了。
2. I quit school at 16.
我十六岁辍学。
3. She has decided to quit show business.
她已决定退出娱乐圈。
4. People are now calling on the chairman to quit.
人们现在正要求主席辞职。
"
railroad,"v.由铁道运输；铺设铁路；以捏造不实之罪使入狱
n.铁路；铁路公司
","1. The supplies were sent on the railroad.
补给经由铁路运送。
2. a railroad station
火车站
"
certain,"adj.某一；必然的；确信；无疑的；有把握的
pron.某些；某几个
n.(Certain)人名；(葡)塞尔塔因；(法)塞尔坦
","1. I felt certain that I’d passed the test.
我感觉自己肯定通过这次测验了。
"
decision,"n.决定，决心；决议
","1. Do you ever wonder if you made the right decision?
你怀疑过自己所作的决定是否正确吗？
2. The judges’ decision is final (= it will not be changed ) .
法官的裁决是最终判决。
"
performance,"n.性能；绩效；表演；执行；表现
","1. This evening’s performance will begin at 8.00 pm.
今晚的演出8点开始。
"
concept,"n.观念，概念
","1. a new concept in business travel
商务旅行的新理念
2. our basic concepts of decent human behaviour
我们对得体的人类行为的基本观念
3. It’s very simple, once you grasp the concept .
你一旦掌握了这个概念之后就很简单了。
"
class,"n.阶级；班级；种类；班；等级
v.分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
adj.极好的；很好的，优秀的，出色的
","1. He had to spend about six months in a class with younger students.
他不得不在一个比他小的学生的班上呆了大约六个月。
"
difference,"n.差异；不同；争执
","1. (= there’s a very big difference ) between us.
我们之间有着天壤之别。
"
genetic,"adj.遗传的；基因的；起源的
","1. genetic defects
遗传性缺陷
2. each person’s genetic make-up
每个人的遗传特征
3. genetic research
基因研究
"
journal,"n.日报，杂志；日记；分类账
","1. the British Medical Journal
《英国医学杂志》
"
slave,"n.奴隶；从动装置
v.苦干；拼命工作
","1. a slave to fashion
时尚的奴隶
"
brain,"n.头脑，智力；脑袋
v.猛击…的头部
","1. Messages from the brain are carried by the central nervous system.
大脑发出的信息是通过中枢神经系统传递的。
2. the chemistry of the brain
大脑的化学性质
3. the human brain
人脑
4. She died of a brain tumour .
她死于脑瘤。
"
response,"n.响应；反应；回答
","1. His immediate response was one of disbelief.
他的第一反应是不相信。
2. Emmett’s new exhibition has met with a favourable response from critics.
埃米特的新展览得到评论家的好评。
"
potential,"n.潜能；可能性；[电] 电势
adj.潜在的；可能的；势的
","1. The boy has great potential.
这个男孩有很大的潜力。
"
site,"n.地点；位置；场所
v.设置；为…选址
","1. an archaeological site
考古现场
"
produce,"v.生产；引起；创作；生育，繁殖
n.农产品，产品
","1. New drugs are producing remarkable results .
新药正在产生显著的效果。
2. a rise in sea level produced by climatic change
由气候变化引起的海平面升高
3. As a policy, it did not produce the desired effect .
作为一项政策，它并未产生预期的效果。
"
spread,"v.传播；伸展
n.传播；伸展
adj.伸展的
","1. News of the explosion spread swiftly.
发生爆炸的消息迅速传播开来。
2. The news spread like wildfire
消息如野火般迅速传开。
3. Word spread quickly that she was leaving.
她要离开的消息迅速传开。
"
attitude,"n.态度；看法；意见；姿势
","1. As soon as they found out I was a doctor, their whole attitude changed.
他们一听说我是医生，态度就完全改变了。
"
living,"adj.活的；现存的；活跃的；逼真的
n.生活；生存；生计
v.生活；居住（live的ing形式）；度过
","1. He’s one of the greatest living composers.
他是仍然健在的最伟大的作曲家之一。
2. The sun affects all living things (= people, animals, and plants ).
太阳与一切生物息息相关。
3. a living language 
活语言，仍在使用的语言
"
union,"n.联盟，协会；工会；联合
","1. Are you planning to join the union?
你打算加入工会吗？
2. {""COLLOINEXA"":[""union members""]}
工会会员
"
born,"v.出世（bear的过去分词）
adj.天生的
n.(Born)人名；(柬)邦；(英、西、俄、捷、德、瑞典、匈)博恩
","1. Forty lambs were born this spring.
今年春天有40头小羊羔出生。
2. I was born and raised (=  was born and grew up  ) in Alabama.
我是土生土长的亚拉巴马人。
3. a newly-born baby
新生儿，初生婴儿
4. the queen’s firstborn son
女王的长子
"
define,"v.定义；使明确；规定
n.(Define)人名；(英)德法恩；(葡)德菲内
","1. the ability to define clients’ needs
确定客户需求的能力
2. The duties of the post are difficult to define.
这一职位的职责很难界定。
"
critic,"n.批评家，评论家；爱挑剔的人
","1. Mather was a film critic for many years.
马瑟做过多年的电影评论家。
"
institution,"n.制度；建立；（社会或宗教等）公共机构；习俗
","1. powerful institutions such as world banks
诸如世界银行之类的强大机构
2. the Institution of Electrical Engineers
电机工程师学会
"
experiment,"v.尝试；进行实验
n.实验，试验；尝试
","1. The teacher provided some different materials and left the children to experiment.
老师提供了几种不同的材料让孩子们试验。
"
adult,"adj.成年的；成熟的
n.成年人
","1. an adult lion
一头成年的狮子
2. the adult population
成年人口
3. He lived most of his adult life in Scotland.
他成年后大部分时间住在苏格兰。
"
review,"n.回顾；复习；评论；检讨；检阅
v.回顾；检查；复审
","1. The policy comes up for review (= will be reviewed ) in April.
这项政策将在4月份予以审议。
2. All fees are subject to review(= may be reviewed ).
所有费用有待审查。
3. Mr Crowther asked for judicial review of the decision(= an examination of the decision by a judge ).
克劳瑟先生要求对判决进行司法审查。
"
generation,"n.一代；产生；一代人；生殖
","1. Like most of my generation, I had never known a war.
和我们这一代的大多数人一样，我并没有经历过战争。
2. In my generation the divorce rate is very high.
我们这一代人离婚率很高。
3. the need to preserve the planet for future generations
为子孙后代保护地球的必要性
4. The story has been handed down from generation to generation.
这个故事是一代一代传下来的。
"
quality,"n.质量，[统计] 品质；特性；才能
adj.优质的；高品质的；<英俚>棒极了
","1. Much of the land was of poor quality.
很多地的土质很差。
2. Use only high quality ingredients.
只使用上等的材料。
"
criticism,"n.批评；考证；苛求
","1. Despite strong criticism , the new system is still in place.
尽管遭到了猛烈的批评，新制度依然原封不动。
2. There has been widespread criticism of the decision.
这一决定受到了普遍的批评。
3. We try to give students constructive criticism .
我们设法对学生提出有建设性的批评。
4. Another criticism levelled at him was that his teaching methods were old-fashioned.
还有一个针对他的批评是，他的教学方法已经过时。
5. The government’s economic strategy has attracted a lot of criticism .
政府的经济政策招致了大量的批评。
6. You must learn to accept criticism .
你必须学会接受批评。
7. Many employees find it hard to take even mild criticism .
有许多员工甚至连轻微的批评也很难接受。
8. His actions provoked severe criticism from civil rights groups.
他的行为招致了民权组织的严厉批评。
9. the storm of criticism that followed his announcement
他的声明引来的批评浪潮
"
remain,"v.保持；依然；留下；剩余；逗留；残存
n.遗迹；剩余物，残骸
","1. Please remain seated until all the lights are on.
请留在座位上，直到灯全都亮起。
2. We remained friends.
我们依然是朋友。
3. The boy remained silent .
男孩依然默不作声。
4. They were cleaning up the remains of their picnic.
他们正在打扫野餐的残余物。
"
product,"n.产品；结果；[数] 乘积；作品
","1. The London factory assembles the finished product .
伦敦工厂组装成品。
2. He works in marketing and product development.
他从事营销和产品开发。
"
nation,"n.国家；民族；国民
","1. the President’s radio broadcast to the nation
总统对全国的广播讲话
2. an independent nation
独立的国家
3. the world’s leading industrial nations
世界上的主要工业国
"
infer,"v.推断；推论
","1. I inferred from what she said that you have not been well.
我从她的话里推断出你身体一直不大好。
"
community,"n.社区；[生态] 群落；共同体；团体
","1. The new arts centre will serve the whole community.
这座新的艺术中心将为整个社区服务。
"
happy,"adj.幸福的；高兴的；巧妙的
n.(Happy)人名；(英、瑞典、喀)哈皮
","1. It’s a lovely house and we’ve been very happy here.
房子很漂亮，我们住在这里非常开心。
2. I’ve never felt happier in my life.
我一生从未感到如此快乐。
3. He was a happy child who rarely cried.
他是一个快乐的孩子，很少哭鼻子。
4. the happy faces of the children
孩子们快乐的表情
5. I loved her and thought I could make her happy.
我爱她，我想我能让她幸福快乐。
"
cover,"v.包括；采访，报导；涉及
n.封面，封皮；盖子；掩蔽物;幌子，借口
","1. a course covering business law
一门包括商业法的课程
2. Are there any areas you feel are not covered adequately in the book?
书中是否有哪些方面你觉得论述得还不够详细？
3. ‘Exercise’ is a word which covers a vast range of activities.
“锻炼”一词包含非常广泛的活动。
4. We need more time to cover so much ground (= include so many things ) .
我们需要更多时间来处理这么多事情。
5. pollutants that are not covered by the Kyoto agreement
《京都议定书》里没有包括的污染物
"
publication,"n.出版；出版物；发表
","1. The guide is being translated into several languages for publication near Christmas.
这本指南正被翻译成好几种语言，准备在圣诞节前后出版。
"
segment,"v.分割
n.段；部分
","1. ...the poorer segments of society.
…社会中的较贫困阶层。
"
seek,"v.寻求；寻找；探索；搜索
","1. Do you think the President will seek re-election ?
你认为总统会谋求连任吗？
"
condition,"n.条件；情况；环境；身份
v.决定；使适应；使健康；以…为条件
","1. Conditions in the prison were atrocious.
这座监狱的条件糟透了。
2. In May, staff went on strike, demanding better pay and conditions .
五月份员工举行了罢工，要求提高工资和改善工作条件。
"
internet,"n.因特网
",
success,"n.成功，成就；胜利；大获成功的人或事物
","1. The experiment was a big success.
实验非常成功。
"
fund,"n.基金；资金；存款
v.投资；资助
","1. The fund was set up to try to save the cathedral.
设立基金以挽救大教堂。
"
structure,"n.结构；构造；建筑物
v.组织；构成；建造
","1. challenges to the existing power structure
对现有权力结构的挑战
2. A new management structure has been introduced.
已推行一种新的管理结构。
3. molecular structures
分子结构
"
sense,"n.感觉，功能；观念；道理；理智
v.感觉到；检测
","1. Cats have a very acute sense of hearing (= very good, so that they can hear even the smallest sound ) .
猫的听觉非常敏锐。
"
newspaper,"n.报纸
","1. She had read about it in the newspapers.
关于这件事她已经在报纸上看到了。
2. a series of newspaper articles about life in Cuba
刊登在报纸上的一系列关于古巴生活的文章
"
customer,"n.顾客；家伙
","1. We aim to offer good value and service to all our customers.
我们力求为所有的客户提供物有所值的商品和服务。
2. We’ve had several letters from satisfied customers.
我们收到了几封顾客表示满意的来信。
3. He’s one of our regular customers .
他是我们的一个老主顾。
"
learned,"adj.博学的；有学问的；学术上的
n.(Learned)人名；(英)勒尼德
","1. a learned professor
一位博学的教授
"
