word,word_sen,word_sen_trans,trans,example
maintain,Careers Officers maintain contact with young people when they have left school.,年轻人离开学校以后，职业指导员和他们保持联系。,"v.维持；继续；维修；主张；供养
","1. Careers Officers maintain contact with young people when they have left school.
年轻人离开学校以后，职业指导员和他们保持联系。
2. Britain wants to maintain its position as a world power.
英国想保持其世界强国的地位。
3. A lot depends on building and maintaining a good relationship with your customers.
和顾客建立并保持良好关系很重要，很多事情要取决于此。
4. The hotel prides itself on maintaining high standards.
这家酒店以保持高标准而自豪。
5. How can we maintain control of spending?
我们如何保持对开支的控制？
"
eliminate,a ruthless dictator who eliminated all his rivals,铲除所有异己的残酷独裁者,"v.消除；排除
","1. a ruthless dictator who eliminated all his rivals
铲除所有异己的残酷独裁者
"
truth,How do we know you’re telling us the truth?,我们怎么知道你告诉我们的是真话？,"n.真理；事实；诚实；实质
","1. How do we know you’re telling us the truth?
我们怎么知道你告诉我们的是真话？
"
historian,"I am a historian, and I teach in an American university.",我是一位历史学家，在美国一所大学任教。,"n.历史学家
","1. I am a historian, and I teach in an American university.
我是一位历史学家，在美国一所大学任教。
2. ""There’s nothing I can tell you about how [this or] any other incidents were or are handled, "" CIA historian David Robarge said.
“关于[这一或]或任何其他事故是如何处理的，我没有什么可以告诉你的，”中央情报局历史学家大卫·罗巴尔说。
3. The historian drew a horizontal line on the date to remember it.
历史学家在日期上画了一条水平线来记住这天。
"
attempt,He made no attempt to hide his anger.,他毫不掩饰自己的愤怒。,"n.企图，试图；攻击
v.企图，试图；尝试
","1. He made no attempt to hide his anger.
他毫不掩饰自己的愤怒。
"
birth,Congratulations on the birth of your daughter!,恭喜你生了个女儿！,"n.出生；血统，出身；起源
","1. Congratulations on the birth of your daughter!
恭喜你生了个女儿！
2. He only weighed 2 kilos at birth .
他出生时体重只有两公斤。
3. Henry has been blind from birth .
亨利先天失明。
4. What’s your date of birth ?
你的出生日期是哪一天？
5. The exact place of birth is not recorded.
确切的出生地没有记录。
6. They believe that the position of the planets at the time of birth determines the fate of the individual.
他们相信，出生时的星象决定了一个人的命运。
7. More and more women are choosing to have home births .
越来越多的女性选择在家分娩。
8. Smoking in pregnancy has been linked to premature birth .
孕期吸烟已被认为与早产有关联。
9. the association between birth weight and blood pressure
出生体重和血压的关系
10. The drug was found to cause serious birth defects .
这种药被发现可造成严重的先天缺陷。
"
topic,The environment is a popular topic these days.,如今环境是一个热门话题。,"n.主题（等于theme）；题目；一般规则；总论
","1. The environment is a popular topic these days.
如今环境是一个热门话题。
2. The main topic for discussion will be the proposed new supermarket.
讨论的主要议题是拟建中的超级市场。
3. a wide range of topics
广泛的话题
"
piece,Cut off a piece of wood 5 cm in length.,截下一段五厘米长的木头。,"n.块；件；篇；硬币
v.修补；接合；凑合
","1. Cut off a piece of wood 5 cm in length.
截下一段五厘米长的木头。
2. His trousers were held up with a piece of string.
他的裤子靠一根细绳系着。
3. Would you like a small or a large piece?
你想要一小块还是一大块？
4. Chop the potato into bite-sized pieces.
把马铃薯切成小块。
"
complete,The police were in complete control of the situation.,警方已完全控制了局势。,"adj.完整的；完全的；彻底的
v.完成
","1. The police were in complete control of the situation.
警方已完全控制了局势。
2. Their engagement came as a complete surprise to me.
他们的订婚让我感到非常意外。
3. This is a complete waste of time .
这完全是在浪费时间。
4. a complete stranger
一个完全陌生的人
5. The darkness was almost complete.
几乎是漆黑一片。
"
exclude,a special diet that excludes dairy products,不包含奶制品的特别食谱,"v.排除；排斥；拒绝接纳；逐出
","1. a special diet that excludes dairy products
不包含奶制品的特别食谱
2. The judges decided to exclude evidence which had been unfairly attained.
法官裁决不接纳以不正当手段获取的证据。
"
energy,The water is heated using energy from the sun.,水是利用太阳能加热的。,"n.[物] 能量；精力；活力；精神
","1. The water is heated using energy from the sun.
水是利用太阳能加热的。
2. The problem with nuclear energy is dealing with the waste.
核能的问题就是要处理核废料。
"
entertain,Mark usually does the cooking when we entertain.,我们招待客人时通常都是马克下厨。,"v.娱乐；招待；怀抱；容纳
","1. Mark usually does the cooking when we entertain.
我们招待客人时通常都是马克下厨。
2. Do you get an allowance for entertaining clients?
你招待客户有补助吗？
"
gain,The Democratic Party needed a net gain of only 20 votes.,民主党只需要增20张选票。,"n.增加；利润；收获
v.获得；增加；赚到
","1. The Democratic Party needed a net gain of only 20 votes.
民主党只需要增20张选票。
2. Eating too many fatty foods could cause weight gain.
过多食用高脂食物会导致体重增加。
"
attractive,an attractive young woman,妩媚动人的年轻女子,"adj.吸引人的；有魅力的；引人注目的
","1. an attractive young woman
妩媚动人的年轻女子
2. Women seem to find him attractive .
女性似乎觉得他很有吸引力。
"
shut,"Shut the window, Ellen!",埃伦，把窗关上！,"v.关闭；停业；幽禁
n.关闭
adj.关闭的；围绕的
","1. Shut the window, Ellen!
埃伦，把窗关上！
2. I heard his bedroom door shut.
我听到他的卧室门关上了。
3. She lay down on her bed and shut her eyes .
她在床上躺下，闭上眼睛。
4. He shut the drawer and turned the key.
他关上抽屉，转动了钥匙。
"
rose,a dozen red roses,一打红玫瑰,"n.玫瑰；粉红色；蔷薇（花）；粉红色的葡萄酒
adj.玫瑰花的；玫瑰色的；粉红色的；带有玫瑰香味的
vt.使成玫瑰色，使（面颊）发红；使有玫瑰香味
vi.起义( rise的过去式)；升起；（数量）增加；休会
","1. a dozen red roses
一打红玫瑰
2. A large bouquet of roses arrived on her desk.
一大束玫瑰送到了她的桌子上。
"
cucumber,"The ""gurkophone"" is one of their classics, made from a hollowed cucumber, a pepper and a carrot.","黄瓜管""是他们的经典乐器之一,那是用掏空的黄瓜、辣椒和胡萝卜做的。","n.黄瓜；胡瓜
","1. The ""gurkophone"" is one of their classics, made from a hollowed cucumber, a pepper and a carrot.
黄瓜管""是他们的经典乐器之一,那是用掏空的黄瓜、辣椒和胡萝卜做的。
2. The salmon was brought to the table whole, garnished with parsley and slices of tomato and cucumber.
整条大麻哈鱼被端上了桌，并用欧芹、西红柿片和黄瓜片作为花色配菜。
"
procedure,"On board, we were given the usual talk on safety procedures (= what to do if an accident happens, or to prevent an accident ) .",在飞机上，我们听了例行的飞行安全讲解。,"n.程序，手续；步骤
","1. On board, we were given the usual talk on safety procedures (= what to do if an accident happens, or to prevent an accident ) .
在飞机上，我们听了例行的飞行安全讲解。
"
decide,Has anything been decided yet?,已经作出什么决定了吗？,"v.决定；解决；判决
","1. Has anything been decided yet?
已经作出什么决定了吗？
2. The trainees decide among themselves what programs to take.
受训者自行选择课程。
3. After a long discussion, they decided in favour of (= chose ) the older applicant.
经过长时间的讨论，他们决定选那位较年长的求职者。
"
editor,the editor of a book of essays on modern poetry,现代诗歌论文集的编者,"n.编者，编辑；社论撰写人；编辑装置
","1. the editor of a book of essays on modern poetry
现代诗歌论文集的编者
"
survive,Only 12 of the 140 passengers survived.,140 名乘客中只有 12 人生还。,"v.幸存；生还；幸免于；比活得长
","1. Only 12 of the 140 passengers survived.
140 名乘客中只有 12 人生还。
2. She survived the attack.
她在袭击中幸免于难。
3. people who survive cancer
癌症幸存者
"
demonstrate,The study demonstrates the link between poverty and malnutrition.,这项研究证明了贫困与营养不良之间的联系。,"v.证明；展示；论证
","1. The study demonstrates the link between poverty and malnutrition.
这项研究证明了贫困与营养不良之间的联系。
2. The government now has an opportunity to demonstrate its commitment to reform.
政府现在有机会表明改革的决心了。
"
academic,He possessed no academic qualifications.,他没有学历。,"adj.学术的；理论的；学院的
n.大学生，大学教师；学者
","1. He possessed no academic qualifications.
他没有学历。
2. a program to raise academic standards
旨在提高学术水平的计划
"
economics,a Harvard professor of economics,哈佛大学的经济学教授,"n.经济学；国家的经济状况
","1. a Harvard professor of economics
哈佛大学的经济学教授
"
characteristic,the highly characteristic (= very typical ) flint walls of the local houses,当地房子非常有特色的燧石墙,"adj.典型的；特有的；表示特性的
n.特征；特性；特色
","1. the highly characteristic (= very typical ) flint walls of the local houses
当地房子非常有特色的燧石墙
"
convince,"Her arguments didn’t convince everyone, but changes were made.",她的论点不能说服每个人，但还是引起了一些变化。,"v.说服；使确信，使信服
","1. Her arguments didn’t convince everyone, but changes were made.
她的论点不能说服每个人，但还是引起了一些变化。
"
material,"According to some, the material world is all that exists.",有些人认为，物质世界就是存在的一切。,"adj.重要的；物质的，实质性的；肉体的
n.材料，原料；物资；布料
","1. According to some, the material world is all that exists.
有些人认为，物质世界就是存在的一切。
"
tree,"As a kid, I loved to climb trees.",小时候，我喜欢爬树。,"n.树；木料；树状物
v.把赶上树
","1. As a kid, I loved to climb trees.
小时候，我喜欢爬树。
2. the trunk of an old oak tree (= the main central part, from which the branches grow )
一棵老橡树的树干
"
oppose,Congress is continuing to oppose the President’s health care budget.,国会继续反对总统的医疗保健预算。,"v.反对；对抗，抗争
","1. Congress is continuing to oppose the President’s health care budget.
国会继续反对总统的医疗保健预算。
"
reward,The school has a system of rewards and punishments to encourage good behaviour.,学校有奖惩制度以鼓励良好行为。,"n.[劳经] 报酬；报答；酬谢
v.[劳经] 奖励；奖赏
","1. The school has a system of rewards and punishments to encourage good behaviour.
学校有奖惩制度以鼓励良好行为。
"
ideal,advice on how to reach your ideal weight,如何达到理想体重的建议,"adj.理想的；完美的；想象的；不切实际的
n.理想；典范
","1. advice on how to reach your ideal weight
如何达到理想体重的建议
2. The scheme offers an ideal opportunity for youngsters to get training.
该计划为年轻人提供了获得培训的极好机会。
3. With so much rain, conditions are far from ideal.
雨水这么多，天气情况很不理想。
"
initial,"an initial investment of £5,000","5,000英镑的初始投资","adj.最初的；字首的
v.用姓名的首字母签名
n.词首大写字母
","1. an initial investment of £5,000
5,000英镑的初始投资
2. The initial response has been encouraging.
最初的反应情况很乐观。
"
cater,We cater to an exclusive clientele.,我们满足一个特殊客户群的需求。,"v.投合，迎合；满足需要；提供饮食及服务
n.(Cater)人名；(英)凯特
","1. We cater to an exclusive clientele.
我们满足一个特殊客户群的需求。
"
profession,people who work in the professions,从事专业性工作的人,"n.职业，专业；声明，宣布，表白
","1. people who work in the professions
从事专业性工作的人
2. nurses, social workers, and other people in the caring professions
护士、社工和其他从事护理行业的人
"
compete,He will be competing in the 100-metre race.,他将参加100米比赛。,"v.竞争；比赛；对抗
","1. He will be competing in the 100-metre race.
他将参加100米比赛。
"
advanced,advanced weapon systems,先进的武器系统,"adj.先进的；高级的；晚期的；年老的
v.前进；增加；上涨（advance的过去式和过去分词形式）
","1. advanced weapon systems
先进的武器系统
2. advanced technology
先进的技术
3. high levels of unemployment in the advanced industrial societies
发达工业社会中的高失业率
"
basis,Their claim had no basis in fact (=  it was not true  ) .,他们的说法没有事实根据。,"n.基础；底部；主要成分；基本原则或原理
","1. Their claim had no basis in fact (=  it was not true  ) .
他们的说法没有事实根据。
"
mislead,"Don’t be misled by appearances, he’s a good worker.",不要被表象迷惑，他工作干得挺不错的。,"v.误导；带错
","1. Don’t be misled by appearances, he’s a good worker.
不要被表象迷惑，他工作干得挺不错的。
"
confront,The problems confronting the new government were enormous.,新政府面临的难题是巨大的。,"v.面对；遭遇；比较
","1. The problems confronting the new government were enormous.
新政府面临的难题是巨大的。
"
entire,It was the worst day in my entire life.,那是我一生中最糟糕的一天。,"adj.全部的，整个的；全体的
n.(Entire)人名；(英)恩泰尔
","1. It was the worst day in my entire life.
那是我一生中最糟糕的一天。
2. The entire staff agreed.
全体员工都同意了。
3. Have you drunk the entire bottle?
你把整瓶酒都喝了吗？
"
contrary,Two contrary views emerged.,出现了两种相反的观点。,"adj.相反的；对立的
adv.相反地
n.相反；反面
","1. Two contrary views emerged.
出现了两种相反的观点。
2. The men shouted contrary orders.
这些人大声喊叫的命令互相矛盾。
"
practical,Candidates should have training and practical experience in basic electronics.,应征者应该具备基础电子学方面的培训和实践经验。,"adj.实际的；实用性的
","1. Candidates should have training and practical experience in basic electronics.
应征者应该具备基础电子学方面的培训和实践经验。
2. the practical problems of old age
老年的实际问题
3. They provide financial and practical help for disabled students.
他们为残障学生提供经济上的援助以及实际的帮助。
4. a combination of theoretical and practical training
理论培训和实践培训的结合
5. They haven’t thought about the practical consequences of the new regulations.
他们没有考虑过新法规会产生什么实际后果。
6. In practical terms, this means spending more time with each student.
具体地说，这意味着花更多的时间和每个学生在一起。
"
vary,Quentin’s mood seems to vary according to the weather.,昆廷的情绪似乎随天气而变化。,"v.变化；变异；违反
n.(Vary)人名；(英、法、罗、柬)瓦里
","1. Quentin’s mood seems to vary according to the weather.
昆廷的情绪似乎随天气而变化。
2. ‘What do you wear when you go out?’ ‘Well, it varies.’
“你出门的时候通常穿什么衣服？”“噢，得看情况。""
"
pursue,She plans to pursue a career in politics.,她计划从政。,"v.继续；从事；追赶；纠缠
","1. She plans to pursue a career in politics.
她计划从政。
2. Students should pursue their own interests , as well as do their school work.
除了完成课业之外，学生也应该追求自己的兴趣。
3. a campaign promise to pursue policies that will help the poor
贯彻扶贫政策的竞选承诺
"
temporary,temporary pain relief,疼痛的暂时缓解,"adj.暂时的，临时的
n.临时工，临时雇员
","1. temporary pain relief
疼痛的暂时缓解
2. I’m living with my parents, but it’s only temporary.
我和父母住在一起，但这只是暂时的。
3. You might want to consider temporary work until you decide what you want to do.
在你定下来想做什么之前，也许可以考虑干点临时性工作。
4. She was employed on a temporary basis .
她是受雇干临时性工作的。
"
dramatic,A superb goal by Owen earned United a dramatic victory yesterday.,昨天欧文的一个超级入球为联队赢得了激动人心的胜利。,"adj.戏剧的；急剧的；引人注目的；激动人心的
","1. A superb goal by Owen earned United a dramatic victory yesterday.
昨天欧文的一个超级入球为联队赢得了激动人心的胜利。
"
vulnerable,He took advantage of me when I was at my most vulnerable.,他在我最脆弱的时候利用了我。,"adj.易受攻击的，易受…的攻击；易受伤害的；有弱点的
","1. He took advantage of me when I was at my most vulnerable.
他在我最脆弱的时候利用了我。
2. We work mainly with the elderly and other vulnerable groups.
我们主要和老年人以及其他弱势群体打交道。
"
represent,Mr Kobayashi was chosen to represent the company at the conference.,小林先生被选中代表公司出席会议。,"v.代表；表现；描绘；回忆；再赠送
","1. Mr Kobayashi was chosen to represent the company at the conference.
小林先生被选中代表公司出席会议。
"
invention,The dishwasher is a wonderful invention.,洗碗机是一项奇妙的发明。,"n.发明；发明物；虚构；发明才能
","1. The dishwasher is a wonderful invention.
洗碗机是一项奇妙的发明。
"
plenty,a land of plenty,一片富饶的土地,"n.丰富，大量；充足
adj.足够的，很多的
adv.足够
","1. a land of plenty
一片富饶的土地
"
gather,A crowd gathered to watch the fight.,一群人聚拢来围观打架。,"v.收集；收割；使…聚集；使…皱起
n.聚集；衣褶；收获量
","1. A crowd gathered to watch the fight.
一群人聚拢来围观打架。
2. Thousands of people gathered outside the embassy.
大使馆外面聚集了数千人。
3. During the air raids, we gathered the children around us and sang songs.
空袭期间，我们把孩子们聚集在身边唱歌。
"
civil,They were married in a civil ceremony in May.,他们在五月份举行了世俗婚礼。,"adj.公民的；民间的；文职的；有礼貌的；根据民法的
n.(Civil)人名；(土)吉维尔；(法)西维尔
","1. They were married in a civil ceremony in May.
他们在五月份举行了世俗婚礼。
"
criminal,Police have described the man as a violent and dangerous criminal.,警方形容那名男子是个凶暴而危险的罪犯。,"n.罪犯
adj.刑事的；犯罪的；罪恶的
","1. Police have described the man as a violent and dangerous criminal.
警方形容那名男子是个凶暴而危险的罪犯。
2. a convicted criminal
一名已决罪犯
3. The new law will ensure that habitual criminals (= criminals who commit crimes repeatedly ) receive tougher punishments than first-time offenders.
新法律将确保惯犯比初犯受到更为严厉的惩罚。
4. Teenagers should not be sent to prison to mix with hardened criminals (= criminals who have committed and will continue to commit a lot of crimes ) .
青少年不该被送进监狱和惯犯混杂在一起。
"
brand,The owner couldn't be bothered to brand the cattle.,主人懒得给这牛打上烙印。,"v.铭刻于，铭记；打烙印于；印…商标于
n.商标，牌子；烙印
","1. The owner couldn't be bothered to brand the cattle.
主人懒得给这牛打上烙印。
"
boom,Guns boomed in the distance.,远处大炮隆隆作响。,"v.使兴旺；发隆隆声
n.繁荣；吊杆；隆隆声
","1. Guns boomed in the distance.
远处大炮隆隆作响。
"
systematic,They went about their business in a systematic way.,他们按部就班地做生意。,"adj.系统的；体系的；有系统的；[图情] 分类的；一贯的，惯常的
","1. They went about their business in a systematic way.
他们按部就班地做生意。
"
substantial,We have the support of a substantial number of parents.,我们有相当多家长的支持。,"adj.大量的；实质的；内容充实的
n.本质；重要材料
","1. We have the support of a substantial number of parents.
我们有相当多家长的支持。
2. a substantial salary
丰厚的薪水
3. a substantial breakfast
丰盛的早餐
4. The document requires substantial changes.
文件需要作大量修改。
"
opening,There are very few openings in scientific research.,科学研究领域很少有职位空缺。,"n.开始；机会；通路；空缺的职位
adj.开始的
v.开放（open的ing形式）；打开；公开
","1. There are very few openings in scientific research.
科学研究领域很少有职位空缺。
"
interesting,That’s an interesting question.,那是一个有趣的问题。,"adj.有趣的；引起兴趣的，令人关注的
","1. That’s an interesting question.
那是一个有趣的问题。
2. a really interesting TV programme
十分有趣的电视节目
3. Did you meet any interesting people?
你见过什么有意思的人吗？
4. It’s interesting that no one remembers seeing the car.
竟然没人记得见过这辆车，真是有趣。
"
component,Gorbachev failed to keep the component parts of the Soviet Union together.,戈尔巴乔夫没能使苏联各组成部分保持在一起。,"adj.组成的，构成的
n.成分；组件；[电子] 元件
","1. Gorbachev failed to keep the component parts of the Soviet Union together.
戈尔巴乔夫没能使苏联各组成部分保持在一起。
"
refuse,a refuse dump,垃圾场,"n.垃圾；废物
v.拒绝；不愿；抵制
","1. a refuse dump
垃圾场
2. refuse collection
垃圾收集
"
medicine,Medicines should be kept out of the reach of children.,药应放在孩子够不到的地方。,"n.药；医学；内科；巫术
v.用药物治疗；给…用药
","1. Medicines should be kept out of the reach of children.
药应放在孩子够不到的地方。
2. Have you been taking your medicine ?
你一直在服药吗？
3. a medicine bottle
药瓶
"
pleasure,the simple pleasures of life,生活中的简单乐趣,"n.快乐；希望；娱乐；令人高兴的事
vt.使高兴；使满意
vi.高兴；寻欢作乐
","1. the simple pleasures of life
生活中的简单乐趣
"
team,Which team do you support?,你支持哪个队？,"n.队；组
v.使合作
","1. Which team do you support?
你支持哪个队？
2. Our team are winning.
现在是我们队赢。
"
goods,the large market for consumer goods,庞大的消费品市场,"n.商品；动产；合意的人；真本领
","1. the large market for consumer goods
庞大的消费品市场
2. Britain’s leading exporter of manufactured goods
英国主要的工业制成品出口商
3. There will be tax increases on a range of goods and services .
有一些商品和服务将要增税。
"
modify,The feedback will be used to modify the course for next year.,这些反馈意见将用于修改明年的课程。,"v.修改，修饰；更改
","1. The feedback will be used to modify the course for next year.
这些反馈意见将用于修改明年的课程。
2. The regulations can only be modified by a special committee.
这些法规只能由特别委员会来修改。
"
sport,the sport of falconry,放鹰狩猎运动,"n.运动；游戏；娱乐；运动会；玩笑
v.游戏
adj.运动的
","1. the sport of falconry
放鹰狩猎运动
2. a demonstration by people opposed to blood sports
反对猎杀动物运动的人士举行的示威游行
"
vote,A vote for us is not a wasted vote.,投我们的票是不会白投的。,"n.投票，选举；选票；得票数
v.提议，使投票；投票决定；公认
","1. A vote for us is not a wasted vote.
投我们的票是不会白投的。
2. The proposal was rejected by 19 votes to 7.
那项提议以19票对7票被否决。
3. policies designed to win votes in the South
旨在赢取南方选票的各项政策
4. It’s the club secretary that counts the votes.
俱乐部干事负责清点选票。
"
dose,I quite like Jamie in small doses (= in limited amounts but not a lot or often ) .,如果偶尔在一起的话，我还是蛮喜欢杰米的。,"n.剂量；一剂，一服
v.服药
","1. I quite like Jamie in small doses (= in limited amounts but not a lot or often ) .
如果偶尔在一起的话，我还是蛮喜欢杰米的。
"
wear,Replace your trainers when they start to show signs of wear.,运动鞋开始出现磨损迹象就要更换。,"n.衣物；磨损；耐久性
v.穿着；用旧；耗损；面露
","1. Replace your trainers when they start to show signs of wear.
运动鞋开始出现磨损迹象就要更换。
2. Check the equipment for wear and tear.
检查设备有没有损耗。
"
theme,The book’s theme is the conflict between love and duty.,本书的主题是爱与责任之间的冲突。,"n.主题；主旋律；题目
adj.以奇想主题布置的
","1. The book’s theme is the conflict between love and duty.
本书的主题是爱与责任之间的冲突。
2. Nature is a recurrent theme (= a theme that appears repeatedly ) in Frost’s poetry.
大自然是弗罗斯特诗作中反复出现的一个主题。
3. Most of Kurt’s other pictures were variations on the same theme .
库尔特的其他大部分画作都是同一主题的变奏。
"
north,Which way is north?,哪边是北？,"n.北，北方
adj.北方的；朝北的
adv.在北方，向北方
","1. Which way is north?
哪边是北？
"
leadership,The US must now take a firm leadership role.,美国现在必须扮演一个强有力的领导人角色。,"n.领导能力；领导阶层
","1. The US must now take a firm leadership role.
美国现在必须扮演一个强有力的领导人角色。
2. the Conservative leadership contest 
保守党的领导人角逐
3. The next leadership election is due in November.
下一届领导人选举将在十一月举行。
"
gift,The earrings were a gift from my aunt.,这副耳环是我姑姑送给我的礼物。,"n.礼物；天赋；赠品
v.赋予；向…赠送
","1. The earrings were a gift from my aunt.
这副耳环是我姑姑送给我的礼物。
2. The clock was given as a retirement gift when he left the police.
这个钟表是他退休离开警局时收到的礼物。
3. expensive wedding gifts
昂贵的结婚礼物
4. Enjoy a free gift with any purchase of $20 or more.
购物满20美元奉送礼品一份。
5. This excellent cookbook would make an ideal gift for anyone just going away to college.
这本精美的烹饪书送给要离家上大学的人是很好的礼物。
"
liberal,a more liberal attitude towards sexuality,对两性关系比较开通的态度,"adj.自由主义的；慷慨的；不拘泥的；宽大的
n.自由主义者
","1. a more liberal attitude towards sexuality
对两性关系比较开通的态度
2. These kinds of price controls go against all the financial principles of the free market liberals.
这些价格控制违反了支持自由市场的自由主义者的所有金融原则。
"
conservation,wildlife conservation,野生生物保护,"n.保存，保持；保护
","1. wildlife conservation
野生生物保护
2. a local conservation group
当地的一个环境保护团体
"
round,I played a round of golf on Sunday morning.,星期天早上我打了一场高尔夫球。,"n.圆；循环；一回合；圆形物
adj.圆的；完全的；大概的；肥胖的
adv.在周围；迂回地；朝反方向；挨个
v.完成；围捕；绕行；弄圆
prep.附近；绕过；大约；在…周围
","1. I played a round of golf on Sunday morning.
星期天早上我打了一场高尔夫球。
"
insist,Stay for supper – I insist!,留下来吃晚餐——一定的！,"v.坚持，强调
","1. Stay for supper – I insist!
留下来吃晚餐——一定的！
"
object,an everyday object such as a spoon,调羹之类的日常用品,"n.目标；物体；客体；宾语
v.提出…作为反对的理由
","1. an everyday object such as a spoon
调羹之类的日常用品
2. a small metal object
一个小金属物件
3. scientists studying plants, animals, or inanimate objects
研究植物、动物或无生命物体的科学家
"
token,...slot-machine tokens.,…自动贩卖机使用的代用币。,"n.表征；代币；记号
adj.象征的；表意的；作为对某事的保证的
vt.象征；代表
","1. ...slot-machine tokens.
…自动贩卖机使用的代用币。
"
active,games for active youngsters,活跃好动的年轻人玩的游戏,"adj.积极的；活跃的；主动的；有效的；现役的
n.主动语态；积极分子
","1. games for active youngsters
活跃好动的年轻人玩的游戏
2. She’s over 80, but is still very active.
她80多岁了，但仍旧很活跃。
"
gradual,There has been a gradual change in climate.,气候渐渐发生了变化。,"adj.逐渐的；平缓的
n.弥撒升阶圣歌集
","1. There has been a gradual change in climate.
气候渐渐发生了变化。
2. the gradual decline in manufacturing industry
制造业的逐渐衰退
3. Education is a gradual process.
教育是一个循序渐进的过程。
"
diverse,The building houses a wide and diverse variety of antiques.,这栋楼里摆放着大量各式各样的古董。,"adj.不同的；多种多样的；变化多的
","1. The building houses a wide and diverse variety of antiques.
这栋楼里摆放着大量各式各样的古董。
"
club,Manchester United Football Club,曼联（队）足球俱乐部,"n.俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
v.用棍棒打；募集
adj.俱乐部的
","1. Manchester United Football Club
曼联（队）足球俱乐部
"
grammar,Check your spelling and grammar.,检查你的拼写和语法。,"n.语法；语法书
","1. Check your spelling and grammar.
检查你的拼写和语法。
2. the rules of English grammar
英语的语法规则
"
narrow,The stairs were very narrow.,楼梯非常狭窄。,"adj.狭窄的，有限的；勉强的；精密的；度量小的
n.海峡；狭窄部分，隘路
v.使变狭窄
","1. The stairs were very narrow.
楼梯非常狭窄。
2. a long, narrow band of cloud
窄长的云带
"
appointment,All consultations are by appointment only .,就诊必须预约。,"n.任命；约定；任命的职位
","1. All consultations are by appointment only .
就诊必须预约。
"
male,a deep male voice,低沉的男声,"adj.男性的；雄性的；有力的
n.男人；雄性动物
","1. a deep male voice
低沉的男声
2. traditional male values
传统的男性价值观
3. Motor-racing has largely been a male preserve (= something that only men have been involved with ) .
赛车基本上是男人的专利。
"
transaction,The bank charges a fixed rate for each transaction.,银行对每一笔业务收取固定费用。,"n.交易；事务；办理；会报，学报
","1. The bank charges a fixed rate for each transaction.
银行对每一笔业务收取固定费用。
2. financial transactions
金融业务
"
