word,word_sen,word_sen_trans,trans,example
resultant,She is still trying to get over the attack and the resultant injuries.,她仍在努力从袭击以及由此造成的伤害中恢复过来。,"adj.作为结果而发生的
","1. She is still trying to get over the attack and the resultant injuries.
她仍在努力从袭击以及由此造成的伤害中恢复过来。
"
fuse,two 13 amp fuses,两根13安培的保险丝,"n.保险丝；导火线,引信
v.结合; 融合; 熔合
","1. two 13 amp fuses
两根13安培的保险丝
2. I taught him how to change a fuse .
我教他怎么换保险丝。
3. A bomb was deactivated at the last moment, after the fuse had been lit.
一枚炸弹在导火线已被点燃后的最后一刻被解除。
4. The skull bones fuse between the ages of fifteen and twenty-five.
颅骨在15和25岁之间长合。
"
very,It feels very cold today.,今天很冷。,"adv.很，非常；完全
adj.同一的，正是的，恰好的
","1. It feels very cold today.
今天很冷。
2. The fishing industry is very important to the area.
捕鱼业对于该地区非常重要。
3. The traffic’s moving very slowly this morning.
今天早上车流非常缓慢。
4. problems that are very similar to mine
和我非常相似的问题
5. I feel a lot better – thank you very much.
我感觉好多了，非常感谢。
6. I’m very, very (= used for emphasis ) pleased you can come.
你能来我真是非常高兴。
7. It’s very kind of you to help.
您来帮忙真是太好了。
8. My sister and I were married on the very same (= exactly the same ) day.
我和姐姐在同一天结婚。
9. He died in this very room.
他就是在这个房间里去世的。
10. I’ll start at the very beginning.
我要从头开始。
"
critic,Mather was a film critic for many years.,马瑟做过多年的电影评论家。,"n.批评家,评论家
","1. Mather was a film critic for many years.
马瑟做过多年的电影评论家。
"
ingenious,Many fish have ingenious ways of protecting their eggs from predators.,很多鱼都有绝妙的方法来保护它们产的卵不被捕食者吃掉。,"adj.〔计划、主意或物体〕精巧的，巧妙的
","1. Many fish have ingenious ways of protecting their eggs from predators.
很多鱼都有绝妙的方法来保护它们产的卵不被捕食者吃掉。
2. an ingenious device
精巧的装置
"
continent,the continents of Asia and Africa,亚洲及非洲大陆,"n.大陆,洲
","1. the continents of Asia and Africa
亚洲及非洲大陆
"
residence,the ambassador’s official residence,大使官邸,"n.住处,住宅
","1. the ambassador’s official residence
大使官邸
"
puppet,a 20-minute puppet show,20分钟的木偶表演,"n.木偶；傀儡
","1. a 20-minute puppet show
20分钟的木偶表演
2. When the invasion occurred he seized power and ruled the country as a puppet of the occupiers.
他趁入侵之时夺取了政权，作为占领者的傀儡统治着这个国家。
3. The government is in danger of becoming a mere puppet of the military.
政府面临沦为军方傀儡的危险。
"
consultant,a management consultant,管理顾问,"n.顾问；会诊医师,顾问医生
","1. a management consultant
管理顾问
2. So she contacted his consultant at once to consult with him about this.
于是她立刻联系他的顾问医生向他请教怎么办。
"
preparation,This dish is good for dinner parties because much of the preparation can be done ahead of time.,这道菜适合宴会，因为很多准备工作可以事先做好。,"n.准备,预备；制剂,制备品
","1. This dish is good for dinner parties because much of the preparation can be done ahead of time.
这道菜适合宴会，因为很多准备工作可以事先做好。
2. Plans for the new school are now in preparation .
新学校的设计图正在绘制中。
3. a course in food service and food preparation
餐饮服务和备菜课程
4. a new preparation for cleansing the skin
一种新的洁肤霜
"
presume,I presume you're here on business.,我想你是来这儿出差的吧。,"v.推测；擅自行动；假定
","1. I presume you're here on business.
我想你是来这儿出差的吧。
2. ""Had he been home all week?""—""I presume so.""
“他整个星期都在家吗？”—“我想是。”
3. They're resentful that outsiders presume to meddle in their affairs.
他们对外人擅自干预他们的事务怨恨不已。
4. The legal definition of ""know"" often presumes mental control.
“知情”的法律界定通常以思维控制力为前提。
"
transistor,Every transistor has at least three electrodes.,每个晶体管至少有三个电极。,"n.晶体管
","1. Every transistor has at least three electrodes.
每个晶体管至少有三个电极。
"
precedent,The trial could set an important precedent for dealing with similar cases.,这次审判能为处理类似案件开创一个重要先例。,"n.先例
","1. The trial could set an important precedent for dealing with similar cases.
这次审判能为处理类似案件开创一个重要先例。
"
capacity,The room had seating capacity for about 80.,这房间能坐80个人左右。,"n.容量,容积；容纳人数；能力
","1. The room had seating capacity for about 80.
这房间能坐80个人左右。
2. The orchestra played to a capacity crowd (= the largest number of people who can fit into a hall, theatre etc ) .
管弦乐队为满场的观众演奏。
3. All the hotels were filled to capacity .
所有的宾馆都住满了。
4. a child’s capacity for learning
孩子的学习能力
"
party,We’re having a small party this evening to celebrate our wedding anniversary.,我们今晚有个小聚会，庆祝我们的结婚纪念日。,"n.聚会；政党
v.尽情欢乐
","1. We’re having a small party this evening to celebrate our wedding anniversary.
我们今晚有个小聚会，庆祝我们的结婚纪念日。
2. the party spirit
参加社交聚会的乐趣
3. I have always voted for the Labour Party.
我一直投工党的票。
4. They come to eat and drink, to swim, to party.
他们来吃饭、喝酒、游泳，尽情欢乐。
"
equation,"In the equation 2x + 1 = 7, what is x?",在方程式2x+1=7中，x的值为多少？,"n.(数学)等式,方程式；制衡局面
","1. In the equation 2x + 1 = 7, what is x?
在方程式2x+1=7中，x的值为多少？
2. The party fears the equation between higher spending and higher taxes.
该党害怕增加开支和增高税收之间的相互制衡。
"
commence,Work will commence on the new building immediately.,新大楼即将破土动工。,"v.开始
","1. Work will commence on the new building immediately.
新大楼即将破土动工。
2. Your first evaluation will be six months after you commence employment.
工作六个月后，你将接受第一次绩效评估。
"
neglect,Many of these ideas have been neglected by modern historians.,这些观点有许多都被现代的历史学家忽略了。,"v.忽视，忽略
n.疏忽
","1. Many of these ideas have been neglected by modern historians.
这些观点有许多都被现代的历史学家忽略了。
2. The police officer was accused of neglecting his duty (= not doing everything he should ).
那位警官被控渎职。
3. Tenants are complaining about the landlord’s neglect of the property.
住户在抱怨房东疏忽了房屋的维修。
"
contemporary,She writes a lot of contemporary music for people like Whitney Houston.,她为惠特尼·休斯敦等人创作大量当代音乐作品。,"adj.现代的,当代的；发生[存在]于同一时代的
","1. She writes a lot of contemporary music for people like Whitney Houston.
她为惠特尼·休斯敦等人创作大量当代音乐作品。
2. The wall hangings are thought to be roughly contemporary with the tiled floors.
壁饰和瓷砖地面被认为差不多出现在同一时代。
"
continuous,continuous economic growth,持续的经济增长,"adj.连续的,持续的
","1. continuous economic growth
持续的经济增长
2. a continuous flow of information
源源不断的信息
"
solution,The best solution would be for them to separate.,最好的解决方法是他们分开。,"n.解决办法；解答；溶解,溶液
","1. The best solution would be for them to separate.
最好的解决方法是他们分开。
2. The solution to last week’s puzzle is on page 12.
上星期字谜的谜底在第 12 页。
3. saline solution
盐溶液
"
decision,Do you ever wonder if you made the right decision?,你怀疑过自己所作的决定是否正确吗？,"n.决定，抉择；决定；判决，裁决
","1. Do you ever wonder if you made the right decision?
你怀疑过自己所作的决定是否正确吗？
2. The judges’ decision is final (= it will not be changed ) .
法官的裁决是最终判决。
3. The Court has the ultimate power of decision.
法庭具有最终的判决权。
"
care,high standards of medical care,高水平的医疗护理,"n.照顾，照料
v.关心，在意
","1. high standards of medical care
高水平的医疗护理
2. They shared the care of the children.
他们共同照顾孩子。
3. Care facilities for the elderly are inadequate.
老年人的护理设施很缺乏。
4. She felt that nobody cared.
她觉得没有人在乎。
"
politician,politicians who are trying to get the minority vote,努力争取少数族群选票的政治家,"n.政治家,政客
","1. politicians who are trying to get the minority vote
努力争取少数族群选票的政治家
2. a British Labour politician
英国工党政治家
"
critical,He made some highly critical remarks.,他发表了一些严厉的批判性言论。,"adj.批评的,评论的；紧要的，关键性的
","1. He made some highly critical remarks.
他发表了一些严厉的批判性言论。
2. It is absolutely critical for us to know the truth.
我们知道真相是极其重要的。
"
obtain,Evans was trying to obtain a false passport and other documents.,埃文斯当时正试图获取假护照和其他文件。,"v.获得,得到
","1. Evans was trying to obtain a false passport and other documents.
埃文斯当时正试图获取假护照和其他文件。
"
resistant,an infection that’s resistant to antibiotics,对抗生素有抗药性的感染,"adj.(to)抵抗的,有抵抗力的
","1. an infection that’s resistant to antibiotics
对抗生素有抗药性的感染
"
pose,Ann struck a pose (= stood or sat in a particular position ) and smiled for the camera.,安摆好姿势露出笑脸准备拍照。,"n.姿势，姿态
v.造成，引起，产生
","1. Ann struck a pose (= stood or sat in a particular position ) and smiled for the camera.
安摆好姿势露出笑脸准备拍照。
2. Rising unemployment is posing serious problems for the administration.
失业率上升正在给政府造成严重的问题。
"
vivid,I’ve got vivid memories of that summer.,我对那年夏天记忆犹新。,"adj.生动的,栩栩如生的；〔色彩、图案〕鲜艳的，鲜明的
","1. I’ve got vivid memories of that summer.
我对那年夏天记忆犹新。
2. He had a vivid picture of her in his mind.
他的脑海中清晰地留着她的形象。
3. his vivid blue eyes
他碧蓝的眼睛
"
millimeter,A micrometer is one thousandth of one millimeter.,一微米是一毫米的千分之一。,"n.(millimetre)毫米
","1. A micrometer is one thousandth of one millimeter.
一微米是一毫米的千分之一。
2. On average these mosses grow at the glacial speed of 1 millimeter per year—and some of the turfs are meters thick.
平均来说，这些苔藓以每年大约1毫米的极慢速度生长，而某些草皮有数米厚。
"
shiver,Jake stood shivering in the cold air.,大冷天里，杰克站着冻得瑟瑟发抖。,"v.战栗,发抖
n.战栗,发抖
","1. Jake stood shivering in the cold air.
大冷天里，杰克站着冻得瑟瑟发抖。
2. A shiver ran through (= went through ) me.
我浑身一阵颤抖。
"
escalate,The fighting on the border is escalating.,边境地区的战事在不断升级。,"v.使…加剧; 加剧
","1. The fighting on the border is escalating.
边境地区的战事在不断升级。
2. We do not want to escalate the war.
我们不想让战争升级。
"
graduate,a Harvard graduate,哈佛毕业生,"n.大学毕业生
v.大学毕业
adj.（攻读）研究生的
","1. a Harvard graduate
哈佛毕业生
2. university graduates
大学毕业生
3. a history graduate
历史专业毕业生
4. Kate graduated from medical school last year.
凯特去年从医学院毕业了。
5. a graduate student
研究生
"
spirit,"I’m 85, but I still feel young in spirit.",我 85 岁了，但心依然感觉年轻。,"n.精神；情绪,心情
","1. I’m 85, but I still feel young in spirit.
我 85 岁了，但心依然感觉年轻。
2. His spirits were so low (= he was so sad ) that he refused to answer his phone.
他情绪非常低落，连电话也不愿接。
"
contradiction,apparent contradictions in the defendant’s testimony,被告证词中的明显矛盾,"n.矛盾，不一致；反驳，否认
","1. apparent contradictions in the defendant’s testimony
被告证词中的明显矛盾
2. You can say what you like without fear of contradiction .
你可以想说什么就说什么，不用担心遭到驳斥。
"
value,The alterations doubled the value of the house,经改建后这所房子增值了一倍。,"n.价值；重要性，用处，益处
v.尊重，重视；给…估价，给…估值
","1. The alterations doubled the value of the house
经改建后这所房子增值了一倍。
2. the nutritional value of cereal
谷类食物的营养价值
3. Shelley valued her privacy.
谢利很重视自己的隐私。
4. We decided to get the house valued.
我们决定给房子估一估价。
"
bathe,"I bathed, washed my hair, and got dressed.",我洗了澡，洗了头，然后穿上衣服。,"v.洗澡；给…洗；游泳；浸洗; 浸泡
","1. I bathed, washed my hair, and got dressed.
我洗了澡，洗了头，然后穿上衣服。
2. He bathed the children and put them to bed.
他给孩子们洗了澡，然后把他们弄上床。
3. They bathed in the lake in the moonlight.
月光下，他们在湖里游泳。
4. She brought a bowl of water and began to bathe the injured arm.
她拿来一盆水，开始清洗受伤的手臂。
"
success,The experiment was a big success.,实验非常成功。,"n.成就，成功；成功的事物，有成就的人
","1. The experiment was a big success.
实验非常成功。
2. We hope it will be a commercial success.
我们希望它会是一次商业成功。
"
genuine,‘Did he really?’ Her surprise seemed genuine.,“他真的这样？”她好像是真的惊讶。,"adj.真正的
","1. ‘Did he really?’ Her surprise seemed genuine.
“他真的这样？”她好像是真的惊讶。
"
port,We’ll have two days ashore while the ship is in port.,轮船靠港时，我们能在岸上待两天。,"n.港口
","1. We’ll have two days ashore while the ship is in port.
轮船靠港时，我们能在岸上待两天。
"
currency,The bank can supply you with foreign currency .,这家银行能为你提供外币。,"n.通货，货币；流传，通行
","1. The bank can supply you with foreign currency .
这家银行能为你提供外币。
2. There are moves towards a single currency in Europe.
欧洲有向单一货币发展的趋势。
3. The local currency is the Swiss franc.
当地的货币是瑞士法郎。
4. The argument has received wide currency .
这一论点被广泛接受了。
5. Marxism began to gain currency.
马克思主义开始被许多人接受。
"
prosperity,a time of economic prosperity,经济繁荣时期,"n.繁荣,兴旺
","1. a time of economic prosperity
经济繁荣时期
"
expand,Water expands as it freezes.,水结冰时会膨胀。,"v.(使)膨胀,(使)扩张；使…发展; 发展
","1. Water expands as it freezes.
水结冰时会膨胀。
2. The hotel wants to expand its business by adding a swimming pool.
该酒店想添个游泳池来扩展业务。
3. the rapidly expanding field of information technology
迅速发展的信息技术领域
"
woman,I was talking to a woman I met on the flight.,我正和一个在飞机上认识的女子交谈。,"n.(pl)women妇女，成年女子
","1. I was talking to a woman I met on the flight.
我正和一个在飞机上认识的女子交谈。
2. married women
已婚妇女
3. a popular women’s magazine
一本受欢迎的女性杂志
4. When a woman is pregnant, the levels of hormones in her body change.
女人怀孕时，体内的荷尔蒙水平会发生变化。
"
manage,He was asked to manage a new department.,他被要求去管理一个新的部门。,"v.经营,管理,；设法做成，努力完成；管理 (时间、金钱等)
","1. He was asked to manage a new department.
他被要求去管理一个新的部门。
2. Managing a football team is harder than you think.
管理一支足球队比你想象的要难。
3. The company had been very badly managed.
公司管理非常糟糕。
4. a brewery which has been owned and managed by the same family for over 100 years
被同一个家族拥有和经营了一百多年的啤酒厂
5. Juventus managed two goals in the last ten minutes.
在最后十分钟里，尤文图斯队攻进了两个球。
6. In a busy world, managing your time is increasingly important.
在一个忙碌的世界里，管理好你的时间越来越重要。
"
exceptional,A review panel concluded that there were no exceptional circumstances that would warrant a lesser penalty for him.,一个评估小组作出结论：没有什么例外情况可使他获得从轻惩罚,"adj.例外的；异常的
","1. A review panel concluded that there were no exceptional circumstances that would warrant a lesser penalty for him.
一个评估小组作出结论：没有什么例外情况可使他获得从轻惩罚
2. This is an exceptional case; I’ve never seen anything like it before.
这是个不寻常的案例，我以前从没见过这样的事。
"
satisfaction,She got great satisfaction from helping people to learn.,她在帮助人们学习的过程中得到很大的满足。,"n.满足,满意
","1. She got great satisfaction from helping people to learn.
她在帮助人们学习的过程中得到很大的满足。
2. ‘I’ve passed all my exams’, he announced with satisfaction.
“我通过了所有的考试。”他满意地宣布。
"
mood,You’re in a good mood this morning!,你今天早晨心情不错啊！,"n.心情,情绪
","1. You’re in a good mood this morning!
你今天早晨心情不错啊！
2. the general mood of depression in the office
办公室里普遍的沮丧情绪
"
enterprise,state/public enterprise (=one owned by the government),国有企业/公共事业单位,"n.事业,企(事)业单位；事业心,进取心
","1. state/public enterprise (=one owned by the government)
国有企业/公共事业单位
2. We’re looking for young people with enterprise and creativity.
我们在寻找有事业心和创造力的年轻人。
"
consequently,"Most computer users have never received any formal keyboard training. Consequently, their keyboard skills are inefficient.",大多数的电脑使用者都没有经过正规的键盘操作训练，因此他们的键盘技巧不够熟练。,"adv.结果，因此，所以
","1. Most computer users have never received any formal keyboard training. Consequently, their keyboard skills are inefficient.
大多数的电脑使用者都没有经过正规的键盘操作训练，因此他们的键盘技巧不够熟练。
2. The molecules are absorbed into the bloodstream and consequently affect the organs.
这些分子被吸收到血液里，从而影响到器官。
"
invade,"The Romans invaded Britain 2,000 years ago.","2,000年前古罗马人入侵了英国。","v.入侵,侵略,侵袭；侵扰
","1. The Romans invaded Britain 2,000 years ago.
2,000年前古罗马人入侵了英国。
2. What right does he have to invade my privacy?
他有什么权利侵犯我的隐私？
"
correct,"If my calculations are correct, we’re about ten miles from Exeter.",如果我计算得没错的话，我们离埃克塞特大约十英里。,"adj.正确的；恰当的,端正的
v.矫正；改正,纠正
","1. If my calculations are correct, we’re about ten miles from Exeter.
如果我计算得没错的话，我们离埃克塞特大约十英里。
2. What’s the correct procedure in cases like this?
像这种案件的正确程序是什么？
3. Score one point for each correct answer .
答对一题得一分。
4. You are absolutely correct, the Missouri is the longest river in the US.
你说的完全正确，密苏里河是美国最长的河流。
5. Some eyesight problems are relatively easy to correct.
有些视力问题比较容易矫正。
6. You have the right to see a copy of your file, and to correct any mistakes you may find.
你有权看你的档案，发现有错可以修改。
7. Correct my pronunciation if it’s wrong.
如果我的发音错了，请给我纠正。
"
symmetry,...the incredible beauty and symmetry of a snowflake.,…雪花令人难以置信的美丽和对称。,"n.对称(性)
","1. ...the incredible beauty and symmetry of a snowflake.
…雪花令人难以置信的美丽和对称。
"
helmet,The Sword split the Knight's helmet and bit him fatally.,剑劈开了骑士的头盔并致命地刺进他。,"n.头盔,钢盔
","1. The Sword split the Knight's helmet and bit him fatally.
剑劈开了骑士的头盔并致命地刺进他。
"
time,Einstein changed the way we think about space and time.,爱因斯坦改变了我们的时空概念。,"n.时间；钟点，时刻；次，回
","1. Einstein changed the way we think about space and time.
爱因斯坦改变了我们的时空概念。
2. close relationships established over a long period of time
长期建立起来的亲密关系
3. Customers have only a limited amount of time to examine the goods.
顾客只有有限的时间可以检查商品。
4. Oh no. Look at the time. I’ll be late.
哦，坏了，你看都几点了。我要迟到了。
5. Mary had seen the film many times.
玛丽已看过这部电影许多次。
"
view,What’s your view on the subject?,你对这个问题怎么看？,"n.观点，意见；视力；视野；视线；风景，美景；风景照；风景画
v.认为；观察;认为
","1. What’s your view on the subject?
你对这个问题怎么看？
2. During an eclipse, the moon blocks our view of the sun (= stop us from seeing it ).
日蚀的时候，月亮遮挡住了太阳。
3. From the top you get a panoramic view of the city.
从顶部你可以一览该市的全貌。
4. The book contains over fifty scenic views of Cambridge.
书中有五十多幅剑桥的风景照。
5. First-generation Americans view the United States as a land of golden opportunity.
第一代美国人把美国看成一个充满良机的大陆。
6. They came back to view the house again.
他们又回来察看了一下房子。
"
receipt,Keep your receipt in case you want to bring it back.,保留收据以备退货之需。,"n.收据,收条；收到,接到
","1. Keep your receipt in case you want to bring it back.
保留收据以备退货之需。
2. Can you give me a receipt?
你能给我一个收条吗？
3. the closing date for receipt of applications
接受申请的截止日期
4. The booking will be made on receipt of a deposit.
一收到订金就进行预订。
"
management,a lack of management skills,缺乏管理技巧,"n.经营,管理；管理层；管理（方式）
","1. a lack of management skills
缺乏管理技巧
2. a management consultant
一个管理顾问
3. management training courses
管理培训课程
4. The management has agreed to the policy.
管理层同意了这项政策。
5. The successful applicant will have experience in project management.
成功的求职者需要有从事项目管理的经验。
"
perfect,His English was perfect.,他的英语很地道。,"adj.完美的；完全的
v.使完美
","1. His English was perfect.
他的英语很地道。
2. The car was in perfect condition.
这辆车的车况极佳。
3. You’re very lucky to have perfect teeth.
你能拥有一口完美的牙齿太幸运了。
4. a perfect performance
完美的演出
5. In a perfect world, we wouldn’t need an army.
在理想世界中，我们不需要军队。
6. I don't know him—he's a perfect stranger.
我不认识他,他是百分之百的陌生人。
7. Mock trials help students perfect their legal skills.
模拟庭审有助于学生们完善自己的法律技能。
"
conductor,Wood is a poor conductor of heat.,木头导热性能差。,"n.指挥；售票员；导体
","1. Wood is a poor conductor of heat.
木头导热性能差。
"
objective,He vowed to achieve certain objectives before the end of his presidency.,他立誓要在他的总统任期结束之前实现某些目标。,"n.目标,目的
adj.客观的,真实的
","1. He vowed to achieve certain objectives before the end of his presidency.
他立誓要在他的总统任期结束之前实现某些目标。
2. the best way to accomplish your objectives
完成目标的最佳方法
3. The degree program has two main objectives.
该学位课程有两个主要目标。
4. Managers should set specific performance objectives for their teams.
经理应该为自己的团队制定明确的绩效目标。
5. The main objective was to improve children’s knowledge of geography.
主要目的是要增长儿童的地理知识。
6. A clear objective was set and adhered to.
定下了明确的目标并坚持到底。
7. One of your first business objectives should be to get your own office.
你的首要工作目标之一应该是拥有自己的办公室。
8. Scientists need to be objective when doing research.
科学家做研究时要客观。
"
beverage,Beer is a beverage of the remotest time.,啤酒是一种最古老的饮料。,"n.(水，酒等之外的)饮料
","1. Beer is a beverage of the remotest time.
啤酒是一种最古老的饮料。
2. And not only food: frequently there must be a beverage.
而且不仅仅为了食物，还常常必须有饮料。
3. In this case, you want to provide the user with a way to say the desired beverage.
在这种情况下，您想为用户提供一种方法，让他们说出自己想要的饮料。
"
manipulate,He was one of those men who manipulated people.,他是那种要摆布别人的人。,"v.操纵，控制；(熟练地)使用，操作；(巧妙地)处理
","1. He was one of those men who manipulated people.
他是那种要摆布别人的人。
2. software designed to store and manipulate data
用于存储和处理数据的软件
"
counterpart,"As soon as he heard what was afoot, he telephoned his German and Italian counterparts to protest.",他一听到在进行中的事，马上就给德国和意大利相应人员打电话抗议。,"n.对应的人(或物)
","1. As soon as he heard what was afoot, he telephoned his German and Italian counterparts to protest.
他一听到在进行中的事，马上就给德国和意大利相应人员打电话抗议。
"
persecute,The Puritans left England to escape being persecuted.,清教徒离开了英国以躲避迫害。,"v.迫害
","1. The Puritans left England to escape being persecuted.
清教徒离开了英国以躲避迫害。
"
marital,marital problems,婚姻问题,"adj.婚姻的,夫妻之间的
","1. marital problems
婚姻问题
2. the increase in marital breakdown
婚姻破裂的增多
"
spiral,...a spiral staircase.,…一段旋梯。,"adj.螺旋形的
n.螺旋，螺线
v.螺旋上升；盘旋
","1. ...a spiral staircase.
…一段旋梯。
2. The maze is actually two interlocking spirals.
这个迷宫实际上是两个连锁的螺旋体。
3. The damaged plane spiralled to the ground.
受损的飞机盘旋坠地
"
designate,The lake was recently designated a conservation area.,这个湖最近被指定为保护区。,"v.任命,指派；标明,表示
","1. The lake was recently designated a conservation area.
这个湖最近被指定为保护区。
2. Buildings are designated by red squares on the map.
在地图上建筑物用红色方块标明。
"
provide,Tea and biscuits will be provided.,有茶水和饼干供应。,"v.提供,供应,供给；规定
","1. Tea and biscuits will be provided.
有茶水和饼干供应。
2. The treaty provides that, by the end of the century, the United States must have removed its bases.
这项条约规定，到本世纪末，美国必须撤走其基地。
"
symposium,He had been taking part in an international symposium on population.,他那时在参加一个有关人口的国际研讨会。,"n.讨论会,专题报告会；专题论文集
","1. He had been taking part in an international symposium on population.
他那时在参加一个有关人口的国际研讨会。
"
technical,Our staff will be available to give you technical support .,有我们的员工向你提供技术支持。,"adj.技术(性)的，工艺的；专业性的
","1. Our staff will be available to give you technical support .
有我们的员工向你提供技术支持。
2. I have no technical knowledge at all.
我一点技术知识都没有。
3. technical training
技术培训
4. The technical term for sunburn is erythema.
晒斑的专业术语是红斑。
"
individual,Each individual leaf on the tree is different.,树上每片叶子都不相同。,"adj.个别的,单独的；独特的
n.个人,个体
","1. Each individual leaf on the tree is different.
树上每片叶子都不相同。
2. the needs of the individual customer
每位顾客的需求
3. a tennis player with a highly individual style
风格非常独特的网球选手
4. the rights of the individual
个人权利
"
present,Foreign observers were present at the elections.,外国观察员出席了选举。,"adj.出席的；现在的
n.礼物；现在
v.赠送；提出
","1. Foreign observers were present at the elections.
外国观察员出席了选举。
2. the present situation of the millions of people who are suffering poverty and disease
遭受贫困和疾病折磨的数百万人民的现状
3. I’m looking for a present for Mark.
我在找一份礼物送给马克。
4. Stop worrying about the past and live in the present.
别再为过去烦恼，好好地过眼前的日子。
5. She was presented with an award.
她被授予一个奖项。
6. On January 3 the company will present its plans to the bank.
1 月3日该公司将向银行提交计划。
"
mercury,Some thieves have eaten off their irons with mercury water.,有些窃贼用汞水腐蚀他们的镣铐。,"n.水银,汞
","1. Some thieves have eaten off their irons with mercury water.
有些窃贼用汞水腐蚀他们的镣铐。
"
level,Inflation fell to its lowest level in 30 years.,通货膨胀降至30年来最低点。,"n.水平，水准；等级
v.弄平，铺平
adj.水平的
","1. Inflation fell to its lowest level in 30 years.
通货膨胀降至30年来最低点。
2. Training is offered at each level in the department.
部门内各级人员都能获得培训。
3. Cover with a layer of sand and level it off.
铺上一层沙，并把它推平。
4. a level surface suitable for wheelchairs
适合轮椅的平坦表面
"
simply,That would be simply wonderful!,那简直太棒了！,"adv.简直；仅仅,只是；朴素地
","1. That would be simply wonderful!
那简直太棒了！
2. It’s not simply a question of money.
这不仅仅是钱的问题。
3. We had to live very simply on my father’s small salary.
我们只能靠父亲微薄的工资过着非常简朴的生活。
"
excursion,Included in the tour is an excursion to the Grand Canyon.,这次旅游包括大峡谷观光。,"n.短途旅行,游览
","1. Included in the tour is an excursion to the Grand Canyon.
这次旅游包括大峡谷观光。
"
bandage,We put some ointment and a bandage on his knee.,我们在他的膝盖上涂了些药膏，还缠了一条绷带。,"n.绷带
v.用绷带扎缚
","1. We put some ointment and a bandage on his knee.
我们在他的膝盖上涂了些药膏，还缠了一条绷带。
2. The nurse bandaged up his sprained ankle.
护士用绷带包扎他扭伤的脚踝。
"
gene,human genes,人类基因,"n.基因
","1. human genes
人类基因
2. the genes that regulate cell division
控制细胞分裂的基因
"
