word,trans,example
abdomen,"n.腹，下腹
","1. He went into the hospital to undergo tests for a pain in his abdomen.
他去了医院接受对他的腹部疼痛进行的各项检查。
"
spicy,"adj.加很多香料的；(口味)浓郁的
","1. a spicy tomato sauce
辣番茄酱
"
specify,"v.指定,详细说明
","1. Payments will be made for a specified number of months.
款项将在规定的几个月内支付。
"
modern,"adj.现代的,近代的；新式的
","1. Such companies must change if they are to compete in the modern world .
此类公司如果想在现代社会中与别人竞争，就必须有所改变。
2. They are the youngest children in modern times to face murder charges.
他们是近代面临谋杀指控儿童中年龄最小的。
3. Smaller families are a feature of modern society .
家庭规模变小是现代社会的一个特征。
4. Computers are an essential part of modern life .
电脑是现代生活必不可少的组成部分。
5. a book about modern history
一本关于现代史的书
6. The original supermarkets were small by modern standards.
最初的超级市场按现代的标准来看是很小的。
7. A lot of progress has been made with the use of modern technology .
现代科技的应用带来了很大的进步。
"
prestige,"n.声望,威望,威信
","1. The king wanted to enhance his prestige through war.
国王想通过战争来提高自己的威信。
2. This little-known British firm has now gained considerable prestige .
这家名不见经传的英国公司如今已经声名鹊起。
3. the personal prestige attached to owning a large property
拥有大房子所带来的体面
"
clothe,"v.(给…)穿衣,供给…衣服
","1. They could barely keep the family fed and clothed.
他们几乎无力为家人提供衣食。
"
lawyer,"n.律师
","1. Prosecution and defence lawyers are expected to deliver closing arguments next week.
原告律师和被告律师下周将要作终结辩论。
"
enclosure,"n.围地，围场
","1. This enclosure was so vast that the outermost wall could hardly be seen.
这块圈地大得几乎看不见它最外面的围墙。
"
motor,"n.发动机,电动机
","1. an electric motor
电动马达
"
addition,"n.增添，添加；附加部分，增加(物)；加法
","1. The addition of networking facilities will greatly enhance the system.
增加网络设备将会大大增强系统的性能。
2. This is a fine book; a worthy addition to the series.
这是一本好书——是对这套丛书有价值的增补。
3. ...simple addition and subtraction problems using whole numbers.
…运用整数的简单加法和减法题。
"
project,"n.方案,工程,项目
v.投射,放映；设计,规划
","1. The project aims to provide an analysis of children’s emotions.
该计划旨在对儿童情绪作出分析。
2. a three-year research project
一项为期三年的研究计划
3. The scheme will now be extended after a successful pilot project (= a small trial to test if an idea will be successful ) .
试行成功后，该方案现在将得到推广。
4. The project is funded by Wellcome plc.
这个项目由威康公司资助。
5. a project manager
项目经理
6. She projected the slide onto the wall.
她将幻灯片投射到墙上。
7. the projected closure of the hospital
计划关闭这所医院
"
silver,"n.银;银器;银币
v.镀银
","1. ...a hand-crafted brooch made from silver.
…一枚银制的手工胸针。
2. He beat the rugs and polished the silver.
他拍打了地毯，擦亮了银器。
3. …埋着15万美元银币的地下室。
...the basement where $150,000 in silver was buried.
"
incorporate,"v.合并,纳入,结合
adj.合并的
","1. The agreement would allow the rebels to be incorporated into a new national police force.
该协议将允许叛军并入一支新的国家警察部队。
"
evade,"v.逃避，回避；避开，躲避；回避
","1. You can’t go on evading your responsibilities in this way.
你不能这样继续逃避责任。
2. The minister evaded the question.
部长回避了那个问题。
"
sensitive,"adj.敏感的，容易生气的
","1. a very sensitive child
一个很敏感的小孩
"
conventional,"adj.惯例的,常规的
","1. Internet connections through conventional phone lines are fairly slow.
通过传统的电话线来连接因特网速度很慢。
2. Bake for 20 minutes in a conventional oven; 8 in a microwave.
在传统的烤炉中烘烤20分钟，在微波炉里则烤8分钟。
"
cut,"v.削减，删节；切，割，削
n.切口，伤口
","1. Seven hundred jobs will be lost in order to cut costs and boost profits.
为了降低成本，提高利润，将削减700个职位。
2. The telephone wires had been cut minutes before the assault.
袭击前几分钟，电话线已经被切断。
3. That’s quite a nasty cut – you ought to get it seen to by a doctor.
这个伤口很严重，你应该让医生处理一下。
"
intimate,"adj.亲密的,密切的
n.熟友,熟人
","1. an intimate friend of Picasso’s
毕加索的一个密友
2. an intimate relationship
亲密的关系
3. She’s on intimate terms with people in government.
她与政府官员关系密切。
"
affect,"v.影响；(疾病)侵袭；感动
","1. the areas affected by the hurricane
受飓风影响的地区
2. a disease that affects the central nervous system
影响中枢神经系统的疾病
3. decisions which affect our lives
影响我们生活的决定
4. Arthritis is a crippling disease which affects people all over the world.
关节炎是一种严重影响健康、困扰全人类的疾病。
5. We were all deeply affected by her death.
我们都为她的去世深感悲痛。
"
chairman,"n.主席,议长,会长,董事长
","1. Barrett serves as vice chairman.
巴雷特担任副主席一职。
"
important,"adj.重要的,重大的；有地位的,有权力的
","1. a very important meeting
很重要的会议
2. The accident taught him an important lesson.
那次事故给了他很大的教训。
3. Happiness is more important than money.
快乐比金钱更重要。
4. ‘What did you say?’ ‘Oh, nothing important.’
“你说什么？”“噢，没什么大事。”
5. a very important customer
一位大客户
"
mob,"n.暴民，乱民
v.围攻
","1. They were immediately surrounded by the mob.
他们立刻被那帮暴民包围了。
"
demonstrate,"v.论证,证实；演示,说明
","1. The study demonstrates the link between poverty and malnutrition.
这项研究证明了贫困与营养不良之间的联系。
2. The government now has an opportunity to demonstrate its commitment to reform.
政府现在有机会表明改革的决心了。
3. Instructors should demonstrate new movements before letting the class try them.
教练应该先进行示范，再让全班学生去做新的动作。
"
basin,"n.盆,脸盆；盆地
","1. a wash basin
洗脸盆
2. the Pacific Basin
太平洋海盆
"
price,"n.价格,价钱；代价
v.给…定价钱
","1. The price of fuel keeps going up.
燃料价格持续上涨。
2. They may pay a high price for their few years of glory.
为了短短几年的辉煌，他们也许要付出高昂的代价。
3. a reasonably priced apartment
定价合理的公寓
"
marginal,"adj.记在页边的,旁注的
","1. marginal notes
边注 [旁注]
"
position,"n.姿势,姿态；位置；职位；处境,形势
","1. Lie in a comfortable position .
以一个舒服的姿势躺下。
2. Our hotel was in a superb central position near St Mark’s Square.
我们的酒店处于极佳的中心位置，在圣马克广场附近。
3. He left a career in teaching to take up a position with the NEH.
他放弃了教职，以便在国家人文基金会任职。
4. I’m not sure what I would do if I were in your position .
我不知道如果我身在你的处境会怎么办。
"
solid,"adj.固体的；结实的,稳固的；可靠的
n.固体
","1. The lake was frozen solid .
湖水冻得结结实实。
2. a solid piece of furniture
一件结实的家具
3. a solid reputation
可靠的声誉
4. Is the baby eating solid food (= bread, meat etc ) yet?
宝宝吃固体食物了吗？
5. the properties of liquids and solids
液体和固体的特性
"
mobile,"adj.可动的,活动的,运动的
","1. ...the four-hundred seat mobile theatre.
…拥有400个座位的活动剧场。
"
identification,"n.身份证明(文件)；识别,鉴别
","1. Do you have any identification?
你有什么身份证明文件吗？
2. His body was taken to Brighton mortuary for identification.
他的尸体被送到布赖顿停尸所确认身份。
"
convenience,"n.便利,方便
","1. Ready meals sell well because of their convenience.
即食餐因为方便销路好。
"
logic,"n.逻辑,逻辑学
","1. There is a certain logic in their choice of architect.
他们对建筑师的选择是有一定道理的。
"
immediate,"adj.立即的,即时的；最接近的；紧接的
","1. Our immediate response to the attack was sheer horror.
我们对攻击的第一反应就是非常惊恐。
2. They promise immediate action to help the unemployed.
他们承诺立即采取行动帮助失业者。
3. The most immediate effect of retirement is a dramatic reduction in living standards.
退休的最直接影响是生活水准的大幅度下降。
"
autonomy,"n.自治，自治权；
","1. campaigners who want greater autonomy for Corsica
希望科西嘉有更多自治权的活动家
"
crystal,"n.水晶,水晶饰品；结晶
adj.水晶的,透明的
","1. a set of six crystal glasses
六件套水晶玻璃杯
2. ice crystals
冰晶
"
local,"adj.地方的,当地的；局部的
","1. local hospital
当地医院
2. local residents
本地居民
3. a local infection
局部感染
"
process,"n.过程,进程；工序,制作法,工艺
v.加工；处理
","1. the Israeli-Egyptian peace process
以－埃和平进程
2. Recycling is an industrial process.
回收利用是一个工业流程。
3. Goats’ cheese may be processed in many ways.
山羊奶干酪可以有多种加工方法。
4. All university applications are processed through this system.
所有大学入学申请都是由这个系统处理的。
"
great,"adj.大量的；很好的；伟大的
","1. The movie was a great success.
这部影片大获成功。
2. The news came as possibly the greatest shock of my life.
这个消息可能是我一生中最大的打击。
3. a great day out for all the family
一家人愉快出游的一天
4. What makes a novel truly great ?
是什么使一部小说真正伟大？
"
revolution,"n.革命
","1. the French Revolution of 1789
1789年法国大革命
"
ban,"v.取缔,查禁,禁止
n.禁止,禁令
","1. Smoking is banned in the building.
大楼内禁止吸烟。
2. a total ban on cigarette advertising
香烟广告的全面禁止
"
competition,"n.竞争；比赛，竞赛
","1. Competition for the job was intense.
该职位竞争很激烈。
2. a photography competition
摄影比赛
"
marine,"adj.海洋的,海生的,海产的；船舶的；海军的
","1. the enormous variety of marine life
海洋生物繁多的种类
2. the effects of oil pollution on marine mammals
石油污染对海洋哺乳动物的影响
3. marine biology
海洋生物学
"
significance,"n.重要性; 意义
","1. Ideas about the social significance of religion have changed over time.
有关宗教的社会意义的观念已随时间的流逝发生了改变。
"
panic,"n.恐慌,惊慌
v.使惊慌,使害怕
","1. a feeling of sheer panic
惊恐万分的感觉
2. She got into a panic when she couldn’t find the tickets.
她找不到票，慌了起来。
3. The whole nation is in a state of panic following the attacks.
袭击过后整个国家一片恐慌。
4. She suffers from terrible panic attacks .
她时常会出现一阵极度慌乱之感。
5. Guests panicked and screamed when the bomb exploded.
炸弹爆炸的时候，客人们惊慌失措，惊声尖叫。
6. The unexpected and sudden memory briefly panicked her.
这突如其来的记忆使她一时惊慌失措。
"
satisfactory,"adj.令人满意的,圆满的,良好的,符合要求的
","1. His progress this term has been satisfactory.
他这学期的进步令人满意。
"
factor,"n.因素,要素
","1. The rise in crime is mainly due to social and economic factors.
犯罪率上升主要由社会和经济因素造成。
"
perspective,"n.观点,看法；透视画法,透视图因素,要素
","1. His father’s death gave him a whole new perspective on life.
父亲的死使他对生活有了全新的看法。
2. the artist’s use of perspective
那位画家对透视法的运用
"
impetus,"n.推动(力),促进
","1. The discovery gave fresh impetus to the research.
这个发现为研究带来新动力。
"
announce,"v.正式宣布,发表
","1. They announced their engagement in ‘The Times’.
他们在《泰晤士报》上宣布了订婚的消息。
2. At the end of their meeting, it was announced that an agreement had been reached.
会议最后宣布已达成一项协议。
"
contract,"n.合同/契约
v.订合同/契约；使缩小
","1. Employees who refuse to relocate are in breach of contract (= have done something not allowed by their contracts ) .
员工拒绝调动岗位是违反合约的。
2. hey are contracted to work 35 hours a week.
他们签下合同每周工作35小时。
3. Metal contracts as it cools.
金属遇冷收缩。
"
entertainment,"n.文娱节目；娱乐活动；招待,款待
","1. The town provides a wide choice of entertainment.
该镇提供各式各样的娱乐活动。
2. the entertainment of friends
招待朋友
"
detective,"n.侦探
","1. She hired a detective to find out if her husband was having an affair.
她雇了一个私人侦探调查她丈夫是否有外遇。
"
radioactive,"adj.放射性的,放射引起的
","1. the problem of how to dispose of radioactive waste
如何处理放射性废物的问题
2. a consignment of highly radioactive plutonium
发送的一批高放射性钚
"
follow,"v.跟随；接着
","1. Are those men following us?
那些人在跟着我们吗？
2. The patrol car followed the BMW for a few miles and then lost it.
巡逻车跟了那辆宝马几英里，后来就跟丢了。
3. Other problems may follow.
其它问题也许会随之而来。
"
database,"n.数据库
","1. customer details held on a database
存储在数据库内的客户详细信息
"
vigorous,"adj.朝气蓬勃的,精力旺盛的
","1. a vigorous young man
精力充沛的年轻男子
"
metropolitan,"adj.大城市的，大都会的
","1. a metropolitan area of South Australia
南澳大利亚的一个都市区
"
include,"v.包括,包含
","1. Does the price include postage?
这个价格包含邮费吗？
2. His job includes looking after under-21 teams.
他的职责包括照管21岁以下球队。
3. The curriculum includes courses in computing.
课程内容包括计算机技术。
"
herself,"pron.[反身代词]她自己；她亲自，她本人
","1. She cut herself on some broken glass.
碎玻璃把她割伤了。
2. She made herself a cup of coffee.
她给自己煮了杯咖啡。
"
summon,"v.召唤；传讯,传唤；鼓起(勇气),振作(精神)
","1. Robert summoned the waiter for the bill.
罗伯特召唤服务员结账。
2. Hugh was summoned to appear before the magistrate.
休被传唤到地方法院出庭。
3. He had to summon the energy to finish the race.
他不得不拼尽全力跑完比赛。
"
activate,"v.启动，激活；驱动，驱使；使开始起作用
","1. Cooking fumes may activate the alarm.
烹调时的油烟可能会触发警报器。
2. The yeast’s growth is activated by sugar and warmth.
糖分和温暖的环境会激发酵母菌的生长。
"
pyramid,"n.金字塔
","1. We set off to see the Pyramids and Sphinx.
我们出发去看金字塔和狮身人面像。
"
contain,"v.包含，容纳
","1. The thieves stole a purse containing bank-notes.
小偷们偷到了一个里面有钞票的钱包。
2. The museum contains a number of original artworks.
这家博物馆藏有一些原创艺术品。
"
lure,"n.吸引力,魅力,诱惑物
v.引诱，吸引
","1. the lure of easy money
轻松赚钱的诱惑
2. Computer games are luring youngsters away from their lessons.
电脑游戏诱惑着青少年，分散了他们的学习注意力。
"
cure,"v.(of)治愈,医治
n.治愈，治疗
","1. Many types of cancer can now be cured.
现在许多癌症都可以治好。
2. an operation that can cure short-sightedness in 15 minutes
15分钟就可治愈近视的一种手术
3. The new treatment effected a miraculous cure.
这种新疗法产生了奇迹般的疗效。
"
lower,"adj.下面的，下方的
v.降下,放低
","1. Nina chewed her lower lip anxiously.
尼娜焦虑不安地咬着下唇。
2. Ruth went down to the lower deck (= lower level on a ship ) .
露丝到下层甲板去了。
3. Do you think we should lower the price?
你觉得我们应该降价吗？
"
detain,"v.耽搁；扣押,拘留
","1. Two suspects have been detained by the police for questioning .
两名嫌疑人被警方拘留审问。
2. He was detained in Washington on urgent business.
他因紧急事务耽搁在了华盛顿。
"
modify,"v.更改,修改
","1. The feedback will be used to modify the course for next year.
这些反馈意见将用于修改明年的课程。
2. The regulations can only be modified by a special committee.
这些法规只能由特别委员会来修改。
"
encounter,"v.遇到,遭遇
n.遭遇；经历
","1. The doctor had encountered several similar cases in the past.
那位医生过去曾碰到过好几个类似病例。
2. a child’s first encounter with books
孩子第一次接触书本
"
conceive,"v.(of)设想,构思,想象；怀胎
","1. Scientists first conceived the idea of the atomic bomb in the 1930’s.
在20世纪30年代，科学家第一次有了原子弹的设想。
2. Women, he says, should give up alcohol before they plan to conceive.
他说女人在计划怀孕前应该戒酒。
"
emergency,"n.紧急情况,突然事件,非常时刻
","1. Lifeguards are trained to deal with emergencies.
救生员接受过应对紧急情况的训练。
2. The plane had to make an emergency landing.
那架飞机不得不紧急着陆。
3. The government called an emergency meeting to discuss the crisis.
政府召开了紧急会议，讨论这次危机。
"
successor,"n.接替的人或事物，继任者
","1. His successor died after only 15 months in office.
他的继任者就任仅15个月就去世了。
2. I’m sure she will be a worthy successor (= someone who is very good and deserves to be someone’s successor ) .
我确信她会是个当之无愧的接班人。
"
retrospect,"n.回顾，回想，追溯
","1. In retrospect, I wonder if we should have done more.
回过头看，我在想我们是否应该做得更多些。
"
performance,"n.表演,演出；表现；履行,执行
","1. This evening’s performance will begin at 8.00 pm.
今晚的演出8点开始。
2. Sean’s performance at school has greatly improved.
肖恩在学校的表现进步很大。
3. the performance of his official duties
履行他的职务
"
essential,"adj.本质的,基本的
n.要素
","1. The essential difference between Sam and me was the fact that I took life seriously.
我和萨姆的根本区别在于我是认真对待生活的。
2. We have no reason to doubt the essentials of the girl’s story.
我们没有理由怀疑这个女孩描述中的要点。
"
disclose,"v.揭示,泄露
","1. Some companies have already voluntarily disclosed similar information .
一些公司已经主动透露了类似的信息。
2. He refused to disclose the identity of the politician.
他拒绝透露那位政治家的身份。
"
nominate,"v.提名；任命
","1. This week one of them will be nominated by the Democratic Party for the presidency of the United States.
本周他们中的一人将被民主党提名为美国总统职位的候选人。
2. Next year Mr Jenks will retire and Mr Broadbent will be nominated as his replacement.
明年詹克斯先生退休，布罗德本特先生将获任命接替他的职位。
"
crisis,"n.(pl.crises)危机,紧要关头
","1. The country now faces an economic crisis .
该国目前正面临一场经济危机。
2. The Prime Minister was criticized for the way in which he handled the crisis .
首相处理危机的方式遭到了批评。
3. the current debt crisis
当前的债务危机
4. a major political crisis
重大的政治危机
5. I was relieved that we had averted yet another financial crisis .
我如释重负，我们又避免了一场财政危机。
6. Oil companies were heavily criticized when they made large profits during the oil crisis of the 1970s.
石油公司因在20世纪70年代的石油危机中赚取了丰厚利润而受到严厉抨击。
7. The car industry is now in crisis .
汽车工业现在正处于危机之中。
8. He doesn’t seem to be very good at crisis management .
他好像不大擅长处理危机。
"
indication,"n.指出,指示;表明,显示
","1. Indications are that the situation hasn’t improved much.
迹象表明局势并没有多大好转。
"
heritage,"n.遗产,继承物;传统
","1. the importance of preserving the national heritage
保护民族遗产的重要性
2. beautiful old buildings which are part of our heritage
属于我们遗产一部分的漂亮古建筑
"
scale,"n.规模;刻度;天平,磅秤;比例尺;音阶;鱼鳞
","1. Large firms benefit from economies of scale (= ways of saving money because they are big ) .
大公司从规模经济中得益。
2. a ruler with a metric scale
有公制刻度的尺子
3. a bathroom scale
一台浴室磅秤
4. a map with a scale of 1:250,000
比例尺为1比250,000的地图
"
sympathetic,"adj.有同情心的；赞同的，支持的
","1. a sympathetic friend
一个有同情心的朋友
2. a sympathetic attitude
一种同情的态度
3. Senator Capp is very sympathetic to environmental issues.
参议员卡普对环境问题十分支持。
"
conversion,"n.转变，转换；信仰的改变；
","1. ...the conversion of disused rail lines into cycle routes.
…把废弃的铁路改变成自行车道。
2. ...his conversion to Christianity.
…他对基督教的皈依。
"
psychology,"n.心理,心理学,心理状态
",
tomato,"n.西红柿
","1. He staked his tomato vines with bamboo.
他用竹竿支撑起西红柿秧。
2. The salmon was brought to the table whole, garnished with parsley and slices of tomato and cucumber.
整条大麻哈鱼被端上了桌，并用欧芹、西红柿片和黄瓜片作为花色配菜。
"
mark,"n.痕迹；记号；分数
v.标记；打分；使有特色
","1. a burn mark on the kitchen table
厨房餐桌上的一块烧痕
2. What do those strange marks at the top mean?
顶端那些奇怪的记号是什么意思？
3. She always gets good marks .
她成绩一直很好。
4. I’ve marked the pages you need to look at.
我把你需要看的几页做了记号。
"
rectangle,"n.[数]矩形, 长方形
","1. Suppose the width of a rectangle is x metres.
设长方形的宽是 x 米。
"
solo,"n.独奏
adj.单独的；独唱的
adv.单独地；独唱地
","1. a gorgeous piano solo
一首极其美妙的钢琴独奏曲
2. He had just completed his final solo album.
他刚刚完成他最后一张个人专辑。
3. When did you first fly solo?
你第一次单独飞行是什么时候？
4. a solo effort
独自的努力
5. a solo album
独唱专辑
"
permanent,"adj.永久的；持久的
","1. He gave up a permanent job in order to freelance.
他放弃了固定工作，为的是当一名自由职业者。
2. a permanent change in your eating habits
饮食习惯的永久改变
3. The blindness that the disease causes will be permanent.
这种疾病引起的失明是永久性的。
4. Miller soon became a permanent fixture (= someone or something that is always there ) on the team.
米勒很快就成为球队的固定队员。
5. The experience left a lasting impression on him.
这一经历给他留下了不可磨灭的印象。
"
former,"adj.以前的,在前的
","1. the former Soviet Union
前苏联
2. Their farm has been reduced to half its former size.
他们的农场已缩小到以前的一半。
"
barbecue,"n.烧烤野餐
v.炙烤(肉等)
","1. On New Year's Eve we had a barbecue on the beach.
除夕那天我们在海滩上举行了烧烤野餐。
2. barbecued chicken
〔用烤架烧的〕烤鸡
"
receive,"v.收到,接到；遭受,受到；接待,接见
","1. All the children will receive a small gift.
每个孩子都会收到一份小礼物。
2. She found herself on the receiving end of racist abuse.
她觉得自己遭到种族虐待。
3. The following evening the hotel was again receiving guests.
第二天晚上饭店又接待起客人来。
"
university,"n.(综合)大学
","1. He teaches Esperanto at that university.
他在那所大学教世界语。
2. She buddied up with a student from another university.
她与来自另一大学的一名学生交朋友。
3. The student left the university to go out into the world and find himself.
这个学生离开了大学进入社会去发现自己的才能所在。
"
merge,"v.(使)结合，(使)合并，(使)合为一体
","1. The company plans to merge its subsidiaries in the US.
该公司计划合并其在美国的几家子公司。
"
agency,"n.代理(处)，代办处；[美](政府的)机关，厅
","1. a local housing agency
一家当地房屋中介
2. a UN agency responsible for helping refugees
负责为难民提供帮助的联合国机构
"
greet,"v.致敬,问候,迎接;扑(鼻),入(耳),触(目)
","1. Belinda greeted her warmly.
贝琳达热情地招呼她。
2. Complete silence greeted us as we entered the room.
走进房间，迎接我们的是一片沉默。
"
subsequent,"adj.随后的,后来的
","1. These skills were passed on to subsequent generations.
这些技能代代相传。
2. subsequent pages of the book
接下去的书页
"
benefit,"n.利益,好处,恩惠
v.有益于;(from,by)受益
","1. I never had the benefit of a university education.
我从未受过大学教育。
2. The new credit cards will be of great benefit to our customers.
新信用卡将大大方便我们的客户。
3. They are working together to benefit the whole community.
他们在为整个社区的利益共同努力。
"
embarrass,"v.使困窘,使局促不安；阻碍,麻烦
","1. He didn’t want to embarrass her by asking questions.
他不想提问让她尴尬。
2. The revelations in the press have embarrassed the government.
报纸披露的事实让政府很难堪。
"
marvelous,"adj.(marvellous)惊人的,奇迹般的,妙极的
","1. Then he enjoyed the marvelous performance.
然后他欣赏起这妙极的演出来。
"
office,"n.办公室,办事处；职务,公职；部,局,处
","1. The department occupies an office just a mile from the White House.
该部门就在离白宫一英里远的地方有个办公楼。
2. She was celebrating ten years in office.
她正在庆祝自己任职十年。
3. the Foreign Office
外交部
"
indicative,"adj.(of)指示的,暗示的
","1. His action is indicative of growing concern about the shortage of skilled labour.
他的行为显示对于熟练工人短缺现象的日益关注。
"
proportion,"n.部分；比例；均衡,相称
","1. A large proportion of the dolphins in that area will eventually die.
那个地区的很大一部分海豚最终都会死去。
2. What’s the proportion of boys to girls in your class?
你们班里男女生的比例是多少？
3. Builders must learn about scale and proportion.
建筑师必须学习比例和均衡。
"
definite,"adj.明确的;一定的
","1. It’s impossible for me to give you a definite answer.
我不可能给你明确的答复。
2. We need to record sufficient data to enable definite conclusions to be reached.
我们需要记录足够的数据，才能得出明确的结论。
3. He’d shown definite signs of resigning himself to the situation.
他明显表现出安于这种状况的样子。
"
van,"n.有篷汽车；有篷货运车厢
","1. a delivery van
运货车
2. The coffin was loaded into the van of the train.
棺材被装进了火车的行李车厢内。
"
assist,"v.协助，帮助，促进
","1. The family decided to assist me with my chores.
家人决定分担我的琐事。
"
medical,"adj.医学的，医疗的，医药的
","1. medical research
医学研究
2. medical staff
医务人员
3. a medical student
医科学生
4. a patient’s medical history
患者的病史
"
subjective,"adj.主观(上)的，个人的
","1. As a critic, he is far too subjective.
作为评论家，他过于主观。
2. a highly subjective point of view
相当主观的看法
"
vocal,"adj.声音的;有声的;歌唱的
n.元音;声乐作品
","1. vocal music
声乐
2. Allison’s vocal style is influenced by country and blues music.
艾利森的演唱风格受到乡村音乐和布鲁斯音乐的影响。
3. a female vocal group
女子歌唱组合
"
luxury,"n.奢侈,华贵；奢侈品
adj.奢华的,豪华的
","1. He was leading a life of luxury in Australia.
他在澳大利亚过着豪华舒适的生活。
2. luxuries like chocolate and perfume
巧克力、香水之类的奢侈品
3. He could not afford luxury food on his pay.
凭他的薪水，他吃不起奢侈的食品。
"
among,"prep.在一群(组)之中；在…之中，于…之间
","1. Jim relaxed, knowing he was among friends .
吉姆知道周围都是朋友，放松了下来。
2. The girl quickly disappeared among the crowd.
女孩转眼消失在人群中。
"
secret,"adj.秘密的,机密的
n.秘密
","1. They kept their relationship secret from their parents.
他们俩的关系瞒着父母。
2. agents on a secret mission
执行秘密任务的特工人员
3. I can’t tell you. It’s a secret .
我不能告诉你，这是个秘密。
"
inspiration,"n.灵感；鼓舞,激励
","1. The Malvern Hills have provided inspiration for many artists and musicians over the decades.
几十年来，莫尔文丘陵为很多艺术家和音乐家提供了灵感。
2. He raised his eyes to the altar as if seeking inspiration.
他抬头看看祭坛，似乎在寻求灵感。
3. He draws inspiration from ordinary scenes.
他从日常生活中得到灵感。
4. Mary Quant’s inspiration comes from the glam style of the seventies.
玛莉·官的灵感来自70年代的魅惑风格。
5. He had a sudden flash of inspiration.
他突然灵感闪现。
6. Powell's unusual journey to high office is an inspiration to millions.
鲍威尔升任高官的不寻常历程对许多人来说是一种激励。
"
curl,"v.(使)卷曲,蜷缩
n.卷发;卷曲状；卷曲物
","1. She has hair that refuses to curl.
她的头发怎么也不卷。
2. Maria had curled her hair for the event.
玛丽亚为这次活动卷了头发。
3. a little boy with beautiful blonde curls
满头漂亮的金色鬈发的小男孩
4. Decorate the cake with chocolate curls.
用巧克力圈装饰蛋糕。
"
deposit,"v.存放；使沉淀
n.存款；沉积物
","1. You are advised to deposit your valuables in the hotel safe.
建议您把贵重物品存到酒店保险箱里。
2. As the river slows down, it deposits a layer of soil.
河水流速变慢时，一层泥土便沉积下来。
3. I’d like to make a deposit (= pay some money ) into my savings account.
我想存一笔钱到我的储蓄账户里。
4. fatty deposits on the heart
心脏上沉积的脂肪层
"
